host_timestamp_ns,host_timestamp_iso,pmd_timestamp,ppg0,ppg1,ppg2,ambient
1783770797165230886,2026-07-11T18:53:17.165+07:00,837085999407802168,404787,368709,267103,1301
1783770797183412704,2026-07-11T18:53:17.183+07:00,837085999407802168,404394,368375,266812,1308
1783770797201594522,2026-07-11T18:53:17.201+07:00,837085999407802168,404048,368170,266665,1353
1783770797219776340,2026-07-11T18:53:17.219+07:00,837085999407802168,403571,367814,266451,1300
1783770797237958158,2026-07-11T18:53:17.237+07:00,837085999407802168,403258,367617,266268,1315
1783770797256139976,2026-07-11T18:53:17.256+07:00,837085999407802168,402989,367421,266202,1323
1783770797274321794,2026-07-11T18:53:17.274+07:00,837085999407802168,402849,367351,266140,1345
1783770797292503612,2026-07-11T18:53:17.292+07:00,837085999407802168,402746,367239,266047,1331
1783770797310685430,2026-07-11T18:53:17.310+07:00,837085999407802168,402751,367189,266042,1317
1783770797328867248,2026-07-11T18:53:17.328+07:00,837085999407802168,402734,367163,266070,1348
1783770797347049066,2026-07-11T18:53:17.347+07:00,837085999407802168,402714,367137,266095,1289
1783770797365230884,2026-07-11T18:53:17.365+07:00,837085999407802168,402822,367215,266138,1349
1783770797383412702,2026-07-11T18:53:17.383+07:00,837085999407802168,402973,367328,266231,1355
1783770797401594520,2026-07-11T18:53:17.401+07:00,837085999407802168,403103,367421,266304,1330
1783770797419776338,2026-07-11T18:53:17.419+07:00,837085999407802168,403383,367547,266406,1299
1783770797437958156,2026-07-11T18:53:17.437+07:00,837085999407802168,403486,367681,266476,1358
1783770797456139974,2026-07-11T18:53:17.456+07:00,837085999407802168,403690,367769,266561,1332
1783770797474321792,2026-07-11T18:53:17.474+07:00,837085999407802168,403799,367834,266608,1264
1783770797492503610,2026-07-11T18:53:17.492+07:00,837085999407802168,403969,368001,266711,1349
1783770797510685428,2026-07-11T18:53:17.510+07:00,837085999407802168,404100,368096,266783,1324
1783770797528867246,2026-07-11T18:53:17.528+07:00,837085999407802168,404230,368220,266841,1304
1783770797547049064,2026-07-11T18:53:17.547+07:00,837085999407802168,404421,368303,266871,1330
1783770797565230882,2026-07-11T18:53:17.565+07:00,837085999407802168,404714,368468,266980,1352
1783770797583412700,2026-07-11T18:53:17.583+07:00,837085999407802168,404786,368622,267081,1326
1783770797601594518,2026-07-11T18:53:17.601+07:00,837085999407802168,404908,368637,267085,1341
1783770797619776336,2026-07-11T18:53:17.619+07:00,837085999407802168,405115,368796,267185,1330
1783770797637958154,2026-07-11T18:53:17.637+07:00,837085999407802168,405214,368818,267219,1274
1783770797656139972,2026-07-11T18:53:17.656+07:00,837085999407802168,405162,368723,267099,1320
1783770797674321790,2026-07-11T18:53:17.674+07:00,837085999407802168,404864,368519,266910,1293
1783770797692503608,2026-07-11T18:53:17.692+07:00,837085999407802168,404582,368317,266780,1292
1783770797710685426,2026-07-11T18:53:17.710+07:00,837085999407802168,404167,367966,266490,1280
1783770797728867244,2026-07-11T18:53:17.728+07:00,837085999407802168,403810,367711,266345,1279
1783770797747049062,2026-07-11T18:53:17.747+07:00,837085999407802168,403456,367500,266238,1296
1783770797765230880,2026-07-11T18:53:17.765+07:00,837085999407802168,403313,367372,266091,1256
1783770797783412698,2026-07-11T18:53:17.783+07:00,837085999407802168,403124,367239,266043,1237
1783770797801594516,2026-07-11T18:53:17.801+07:00,837085999407802168,403091,367197,266055,1301
1783770797819776334,2026-07-11T18:53:17.819+07:00,837085999407802168,403182,367273,266136,1291
1783770797837958152,2026-07-11T18:53:17.837+07:00,837085999407802168,403269,367357,266198,1318
1783770797856139970,2026-07-11T18:53:17.856+07:00,837085999407802168,403480,367480,266273,1296
1783770797874321788,2026-07-11T18:53:17.874+07:00,837085999407802168,403617,367601,266381,1306
1783770797892503606,2026-07-11T18:53:17.892+07:00,837085999407802168,403872,367765,266487,1277
1783770797910685424,2026-07-11T18:53:17.910+07:00,837085999407802168,404089,368006,266630,1320
1783770797928867242,2026-07-11T18:53:17.928+07:00,837086000172177358,404188,368089,266690,1274
1783770797947049060,2026-07-11T18:53:17.947+07:00,837086000172177358,404490,368254,266778,1311
1783770797965230878,2026-07-11T18:53:17.965+07:00,837086000172177358,404622,368358,266904,1262
1783770797983412696,2026-07-11T18:53:17.983+07:00,837086000172177358,404830,368482,266981,1310
1783770798001594514,2026-07-11T18:53:18.001+07:00,837086000172177358,405034,368616,267056,1333
1783770798019776332,2026-07-11T18:53:18.019+07:00,837086000172177358,405168,368779,267104,1310
1783770798037958150,2026-07-11T18:53:18.037+07:00,837086000172177358,405266,368853,267098,1263
1783770798056139968,2026-07-11T18:53:18.056+07:00,837086000172177358,405462,368934,267165,1262
1783770798074321786,2026-07-11T18:53:18.074+07:00,837086000172177358,405682,369092,267313,1339
1783770798092503604,2026-07-11T18:53:18.092+07:00,837086000172177358,405868,369230,267420,1337
1783770798110685422,2026-07-11T18:53:18.110+07:00,837086000172177358,406011,369395,267515,1313
1783770798128867240,2026-07-11T18:53:18.128+07:00,837086000172177358,406190,369543,267660,1298
1783770798147049058,2026-07-11T18:53:18.147+07:00,837086000172177358,406356,369600,267700,1296
1783770798165230876,2026-07-11T18:53:18.165+07:00,837086000172177358,406317,369518,267644,1250
1783770798183412694,2026-07-11T18:53:18.183+07:00,837086000172177358,406126,369381,267471,1299
1783770798201594512,2026-07-11T18:53:18.201+07:00,837086000172177358,405788,369164,267272,1296
1783770798219776330,2026-07-11T18:53:18.219+07:00,837086000172177358,405414,368898,267013,1314
1783770798237958148,2026-07-11T18:53:18.237+07:00,837086000172177358,405067,368584,266859,1368
1783770798256139966,2026-07-11T18:53:18.256+07:00,837086000172177358,404729,368362,266757,1294
1783770798274321784,2026-07-11T18:53:18.274+07:00,837086000172177358,404544,368161,266638,1325
1783770798292503602,2026-07-11T18:53:18.292+07:00,837086000172177358,404426,368050,266563,1296
1783770798310685420,2026-07-11T18:53:18.310+07:00,837086000172177358,404314,368039,266502,1275
1783770798328867238,2026-07-11T18:53:18.328+07:00,837086000172177358,404354,367944,266521,1315
1783770798347049056,2026-07-11T18:53:18.347+07:00,837086000172177358,404398,368035,266628,1383
1783770798365230874,2026-07-11T18:53:18.365+07:00,837086000172177358,404442,368033,266580,1288
1783770798383412692,2026-07-11T18:53:18.383+07:00,837086000172177358,404604,368137,266703,1288
1783770798401594510,2026-07-11T18:53:18.401+07:00,837086000172177358,404819,368240,266802,1356
1783770798419776328,2026-07-11T18:53:18.419+07:00,837086000172177358,405034,368356,266835,1302
1783770798437958146,2026-07-11T18:53:18.437+07:00,837086000172177358,405245,368450,266919,1332
1783770798456139964,2026-07-11T18:53:18.456+07:00,837086000172177358,405348,368594,267030,1347
1783770798474321782,2026-07-11T18:53:18.474+07:00,837086000172177358,405498,368656,267080,1302
1783770798492503600,2026-07-11T18:53:18.492+07:00,837086000172177358,405656,368785,267130,1314
1783770798510685418,2026-07-11T18:53:18.510+07:00,837086000172177358,405801,368854,267219,1269
1783770798528867236,2026-07-11T18:53:18.528+07:00,837086000172177358,405938,368963,267254,1293
1783770798547049054,2026-07-11T18:53:18.547+07:00,837086000172177358,406128,369089,267296,1289
1783770798565230872,2026-07-11T18:53:18.565+07:00,837086000172177358,406258,369189,267426,1330
1783770798583412690,2026-07-11T18:53:18.583+07:00,837086000172177358,406493,369331,267549,1368
1783770798601594508,2026-07-11T18:53:18.601+07:00,837086000172177358,406596,369425,267554,1299
1783770798619776326,2026-07-11T18:53:18.619+07:00,837086000172177358,406821,369516,267706,1322
1783770798637958144,2026-07-11T18:53:18.637+07:00,837086000172177358,406984,369581,267783,1287
1783770798656139962,2026-07-11T18:53:18.656+07:00,837086000172177358,407165,369706,267818,1335
1783770798674321780,2026-07-11T18:53:18.674+07:00,837086000172177358,407054,369733,267759,1270
1783770798692503598,2026-07-11T18:53:18.692+07:00,837086000936561704,406857,369533,267634,1249
1783770798710685416,2026-07-11T18:53:18.710+07:00,837086000936561704,406644,369390,267492,1280
1783770798728867234,2026-07-11T18:53:18.728+07:00,837086000936561704,406348,369177,267320,1294
1783770798747049052,2026-07-11T18:53:18.747+07:00,837086000936561704,406100,368994,267224,1290
1783770798765230870,2026-07-11T18:53:18.765+07:00,837086000936561704,405941,368750,267195,1317
1783770798783412688,2026-07-11T18:53:18.783+07:00,837086000936561704,405795,368615,267098,1341
1783770798801594506,2026-07-11T18:53:18.801+07:00,837086000936561704,405696,368558,267070,1306
