host_timestamp_ns,host_timestamp_iso,pmd_timestamp,ppg0,ppg1,ppg2,ambient
1784138276807909300,2026-07-16T00:57:56.807+07:00,837453477612382319,375252,470950,446408,172719
1784138276826091118,2026-07-16T00:57:56.826+07:00,837453477612382319,375259,470926,446421,172764
1784138276844272936,2026-07-16T00:57:56.844+07:00,837453477612382319,375258,470985,446482,172714
1784138276862454754,2026-07-16T00:57:56.862+07:00,837453477612382319,375331,471063,446515,172725
1784138276880636572,2026-07-16T00:57:56.880+07:00,837453477612382319,375342,471101,446581,172701
1784138276898818390,2026-07-16T00:57:56.898+07:00,837453477612382319,375376,471149,446587,172707
1784138276917000208,2026-07-16T00:57:56.917+07:00,837453477612382319,375350,471134,446531,172673
1784138276935182026,2026-07-16T00:57:56.935+07:00,837453477612382319,375435,471209,446608,172753
1784138276953363844,2026-07-16T00:57:56.953+07:00,837453477612382319,375501,471315,446623,172764
1784138276971545662,2026-07-16T00:57:56.971+07:00,837453477612382319,375412,471343,446636,172691
1784138276989727480,2026-07-16T00:57:56.989+07:00,837453477612382319,375415,471296,446699,172716
1784138277007909298,2026-07-16T00:57:57.007+07:00,837453477612382319,375443,471434,446765,172706
1784138277026091116,2026-07-16T00:57:57.026+07:00,837453477612382319,375465,471585,446777,172702
1784138277044272934,2026-07-16T00:57:57.044+07:00,837453477612382319,375535,471539,446802,172745
1784138277062454752,2026-07-16T00:57:57.062+07:00,837453477612382319,375546,471616,446879,172698
1784138277080636570,2026-07-16T00:57:57.080+07:00,837453477612382319,375603,471701,446914,172702
1784138277098818388,2026-07-16T00:57:57.098+07:00,837453477612382319,375685,471747,447067,172734
1784138277117000206,2026-07-16T00:57:57.117+07:00,837453477612382319,375675,471769,447041,172673
1784138277135182024,2026-07-16T00:57:57.135+07:00,837453477612382319,375694,471868,447113,172724
1784138277153363842,2026-07-16T00:57:57.153+07:00,837453477612382319,375744,471950,447232,172714
1784138277171545660,2026-07-16T00:57:57.171+07:00,837453477612382319,375855,472034,447239,172767
1784138277189727478,2026-07-16T00:57:57.189+07:00,837453477612382319,375843,472114,447261,172714
1784138277207909296,2026-07-16T00:57:57.207+07:00,837453477612382319,375830,472138,447304,172761
1784138277226091114,2026-07-16T00:57:57.226+07:00,837453477612382319,375876,472158,447354,172764
1784138277244272932,2026-07-16T00:57:57.244+07:00,837453477612382319,375956,472313,447388,172743
1784138277262454750,2026-07-16T00:57:57.262+07:00,837453477612382319,375961,472349,447441,172689
1784138277280636568,2026-07-16T00:57:57.280+07:00,837453477612382319,376036,472464,447573,172746
1784138277298818386,2026-07-16T00:57:57.298+07:00,837453477612382319,376061,472494,447645,172737
1784138277317000204,2026-07-16T00:57:57.317+07:00,837453477612382319,376094,472588,447749,172727
1784138277335182022,2026-07-16T00:57:57.335+07:00,837453477612382319,376177,472708,447829,172751
1784138277353363840,2026-07-16T00:57:57.353+07:00,837453477612382319,376211,472792,447868,172677
