host_timestamp_ns,host_timestamp_iso,pmd_timestamp,ppg0,ppg1,ppg2,ambient
1783334792077555738,2026-07-06T17:46:32.077+07:00,540196371403392079,173005,129789,134381,1357
1783334792095737556,2026-07-06T17:46:32.095+07:00,540196371403392079,173016,129773,134420,1334
1783334792113919374,2026-07-06T17:46:32.113+07:00,540196371403392079,173042,129869,134384,1330
1783334792132101192,2026-07-06T17:46:32.132+07:00,540196371403392079,173110,129894,134496,1355
1783334792150283010,2026-07-06T17:46:32.150+07:00,540196371403392079,173159,129938,134548,1361
1783334792168464828,2026-07-06T17:46:32.168+07:00,540196371403392079,173197,129942,134561,1323
1783334792186646646,2026-07-06T17:46:32.186+07:00,540196371403392079,173235,129955,134576,1328
1783334792204828464,2026-07-06T17:46:32.204+07:00,540196371403392079,173167,129982,134578,1338
1783334792223010282,2026-07-06T17:46:32.223+07:00,540196371403392079,173164,129901,134550,1359
1783334792241192100,2026-07-06T17:46:32.241+07:00,540196371403392079,173019,129824,134442,1378
1783334792259373918,2026-07-06T17:46:32.259+07:00,540196371403392079,172972,129763,134421,1320
1783334792277555736,2026-07-06T17:46:32.277+07:00,540196371403392079,172979,129786,134399,1380
1783334792295737554,2026-07-06T17:46:32.295+07:00,540196371403392079,172915,129794,134379,1317
1783334792313919372,2026-07-06T17:46:32.313+07:00,540196371403392079,172836,129728,134289,1303
1783334792332101190,2026-07-06T17:46:32.332+07:00,540196371403392079,172827,129703,134337,1350
1783334792350283008,2026-07-06T17:46:32.350+07:00,540196371403392079,172838,129697,134328,1328
1783334792368464826,2026-07-06T17:46:32.368+07:00,540196371403392079,172765,129705,134320,1385
1783334792386646644,2026-07-06T17:46:32.386+07:00,540196371403392079,172738,129613,134301,1347
1783334792404828462,2026-07-06T17:46:32.404+07:00,540196371403392079,172660,129595,134270,1367
1783334792423010280,2026-07-06T17:46:32.423+07:00,540196371403392079,172627,129580,134267,1376
1783334792441192098,2026-07-06T17:46:32.441+07:00,540196371403392079,172635,129581,134222,1340
1783334792459373916,2026-07-06T17:46:32.459+07:00,540196371403392079,172647,129592,134264,1303
1783334792477555734,2026-07-06T17:46:32.477+07:00,540196371403392079,172663,129548,134226,1341
1783334792495737552,2026-07-06T17:46:32.495+07:00,540196371403392079,172584,129556,134202,1358
1783334792513919370,2026-07-06T17:46:32.513+07:00,540196371403392079,172560,129538,134202,1339
1783334792532101188,2026-07-06T17:46:32.532+07:00,540196371403392079,172611,129497,134256,1342
1783334792550283006,2026-07-06T17:46:32.550+07:00,540196371403392079,172614,129569,134230,1281
1783334792568464824,2026-07-06T17:46:32.568+07:00,540196371403392079,172704,129627,134335,1328
1783334792586646642,2026-07-06T17:46:32.586+07:00,540196371403392079,172656,129564,134293,1344
1783334792604828460,2026-07-06T17:46:32.604+07:00,540196371403392079,172672,129547,134279,1340
1783334792623010278,2026-07-06T17:46:32.623+07:00,540196371403392079,172678,129638,134353,1367
1783334792641192096,2026-07-06T17:46:32.641+07:00,540196371403392079,172674,129580,134374,1367
1783334792659373914,2026-07-06T17:46:32.659+07:00,540196371403392079,172674,129633,134414,1317
1783334792677555732,2026-07-06T17:46:32.677+07:00,540196371403392079,172729,129617,134422,1332
1783334792695737550,2026-07-06T17:46:32.695+07:00,540196371403392079,172694,129668,134456,1349
