host_timestamp_ns,host_timestamp_iso,pmd_timestamp,ppg0,ppg1,ppg2,ambient
1783335487269998823,2026-07-06T17:58:07.269+07:00,540197064541925916,165903,126262,126196,1337
1783335487288180641,2026-07-06T17:58:07.288+07:00,540197064541925916,165899,126251,126148,1265
1783335487306362459,2026-07-06T17:58:07.306+07:00,540197064541925916,165944,126316,126229,1365
1783335487324544277,2026-07-06T17:58:07.324+07:00,540197064541925916,165899,126266,126188,1340
1783335487342726095,2026-07-06T17:58:07.342+07:00,540197064541925916,165898,126293,126231,1348
1783335487360907913,2026-07-06T17:58:07.360+07:00,540197064541925916,165925,126277,126196,1265
1783335487379089731,2026-07-06T17:58:07.379+07:00,540197064541925916,165981,126368,126248,1313
1783335487397271549,2026-07-06T17:58:07.397+07:00,540197064541925916,165989,126376,126287,1299
1783335487415453367,2026-07-06T17:58:07.415+07:00,540197064541925916,166023,126391,126306,1342
1783335487433635185,2026-07-06T17:58:07.433+07:00,540197064541925916,166057,126359,126302,1291
1783335487451817003,2026-07-06T17:58:07.451+07:00,540197064541925916,166057,126385,126286,1252
1783335487469998821,2026-07-06T17:58:07.469+07:00,540197064541925916,166077,126441,126360,1284
1783335487488180639,2026-07-06T17:58:07.488+07:00,540197064541925916,166093,126451,126327,1253
1783335487506362457,2026-07-06T17:58:07.506+07:00,540197064541925916,166143,126479,126352,1273
1783335487524544275,2026-07-06T17:58:07.524+07:00,540197064541925916,166167,126459,126361,1285
1783335487542726093,2026-07-06T17:58:07.542+07:00,540197064541925916,166193,126495,126403,1293
1783335487560907911,2026-07-06T17:58:07.560+07:00,540197064541925916,166150,126472,126394,1262
1783335487579089729,2026-07-06T17:58:07.579+07:00,540197064541925916,166146,126442,126326,1301
1783335487597271547,2026-07-06T17:58:07.597+07:00,540197064541925916,166072,126430,126325,1331
1783335487615453365,2026-07-06T17:58:07.615+07:00,540197064541925916,166030,126349,126283,1314
1783335487633635183,2026-07-06T17:58:07.633+07:00,540197064541925916,165991,126323,126194,1280
1783335487651817001,2026-07-06T17:58:07.651+07:00,540197064541925916,166021,126343,126289,1377
1783335487669998819,2026-07-06T17:58:07.669+07:00,540197064541925916,165973,126321,126264,1365
1783335487688180637,2026-07-06T17:58:07.688+07:00,540197064541925916,165978,126342,126226,1376
1783335487706362455,2026-07-06T17:58:07.706+07:00,540197064541925916,166003,126304,126270,1361
