host_timestamp_ns,host_timestamp_iso,pmd_timestamp,ppg0,ppg1,ppg2,ambient
1783334979139079569,2026-07-06T17:49:39.139+07:00,540196558577991872,190316,139328,176694,1301
1783334979157261387,2026-07-06T17:49:39.157+07:00,540196558577991872,190319,139296,176673,1326
1783334979175443205,2026-07-06T17:49:39.175+07:00,540196558577991872,190304,139272,176598,1377
1783334979193625023,2026-07-06T17:49:39.193+07:00,540196558577991872,190213,139198,176509,1331
1783334979211806841,2026-07-06T17:49:39.211+07:00,540196558577991872,190112,139156,176439,1293
1783334979229988659,2026-07-06T17:49:39.229+07:00,540196558577991872,190043,139157,176409,1338
1783334979248170477,2026-07-06T17:49:39.248+07:00,540196558577991872,189985,139088,176303,1369
1783334979266352295,2026-07-06T17:49:39.266+07:00,540196558577991872,189960,139021,176260,1362
1783334979284534113,2026-07-06T17:49:39.284+07:00,540196558577991872,189914,139046,176146,1343
1783334979302715931,2026-07-06T17:49:39.302+07:00,540196558577991872,189905,139010,176088,1339
1783334979320897749,2026-07-06T17:49:39.320+07:00,540196558577991872,189878,138925,176039,1313
1783334979339079567,2026-07-06T17:49:39.339+07:00,540196558577991872,189761,138880,175965,1337
1783334979357261385,2026-07-06T17:49:39.357+07:00,540196558577991872,189778,138852,175929,1351
1783334979375443203,2026-07-06T17:49:39.375+07:00,540196558577991872,189731,138782,175814,1297
1783334979393625021,2026-07-06T17:49:39.393+07:00,540196558577991872,189670,138838,175868,1360
1783334979411806839,2026-07-06T17:49:39.411+07:00,540196558577991872,189678,138856,175848,1315
1783334979429988657,2026-07-06T17:49:39.429+07:00,540196558577991872,189717,138852,175867,1340
1783334979448170475,2026-07-06T17:49:39.448+07:00,540196558577991872,189693,138814,175876,1320
1783334979466352293,2026-07-06T17:49:39.466+07:00,540196558577991872,189683,138791,175920,1385
1783334979484534111,2026-07-06T17:49:39.484+07:00,540196558577991872,189604,138740,175818,1332
1783334979502715929,2026-07-06T17:49:39.502+07:00,540196558577991872,189605,138800,175834,1305
1783334979520897747,2026-07-06T17:49:39.520+07:00,540196558577991872,189659,138804,175875,1326
1783334979539079565,2026-07-06T17:49:39.539+07:00,540196558577991872,189691,138830,175894,1359
1783334979557261383,2026-07-06T17:49:39.557+07:00,540196558577991872,189664,138806,175830,1315
1783334979575443201,2026-07-06T17:49:39.575+07:00,540196558577991872,189675,138818,175898,1337
1783334979593625019,2026-07-06T17:49:39.593+07:00,540196558577991872,189653,138810,175921,1357
1783334979611806837,2026-07-06T17:49:39.611+07:00,540196558577991872,189642,138850,175906,1367
1783334979629988655,2026-07-06T17:49:39.629+07:00,540196558577991872,189645,138823,175914,1338
1783334979648170473,2026-07-06T17:49:39.648+07:00,540196558577991872,189725,138828,175935,1334
1783334979666352291,2026-07-06T17:49:39.666+07:00,540196558577991872,189748,138866,175918,1307
