host_timestamp_ns,red,infrared,ppg0,ppg1,ppg2,label
1783333831066946695,109173,38189,186623,203217,148615,truth
1783333831066946696,109173,38216,186623,203217,148615,truth
1783333831109187820,109152,38189,186589,203210,148577,truth
1783333831109187821,109194,38196,186589,203210,148577,truth
1783333831109187822,109194,38189,186589,203210,148577,truth
1783333831109187823,109152,38209,186589,203210,148577,truth
1783333831109187824,109215,38223,186589,203210,148577,truth
1783333831109187825,109194,38223,186589,203210,148577,truth
1783333831109187826,109215,38209,186589,203210,148577,truth
1783333831109187827,109256,38243,186589,203210,148577,truth
1783333831109187828,109256,38216,186589,203210,148577,truth
1783333831109187829,109215,38277,186589,203210,148577,truth
1783333831109187830,109277,38270,186589,203210,148577,truth
1783333831109187831,109256,38284,186589,203210,148577,truth
1783333831109187832,109318,38263,186589,203210,148577,truth
1783333831109187833,109297,38297,186589,203210,148577,truth
1783333831109187834,109339,38291,186589,203210,148577,truth
1783333831109187835,109339,38325,186589,203210,148577,truth
1783333831109187836,109360,38311,186589,203210,148577,truth
1783333831151883128,109360,38304,186591,203165,148653,truth
1783333831151883129,109380,38311,186591,203165,148653,truth
1783333831151883130,109380,38352,186591,203165,148653,truth
1783333831151883131,109401,38331,186591,203165,148653,truth
1783333831151883132,109401,38365,186591,203165,148653,truth
1783333831151883133,109422,38345,186591,203165,148653,truth
1783333831151883134,109401,38352,186591,203165,148653,truth
1783333831151883135,109443,38359,186591,203165,148653,truth
1783333831151883136,109443,38379,186591,203165,148653,truth
1783333831151883137,109484,38359,186591,203165,148653,truth
1783333831151883138,109505,38386,186591,203165,148653,truth
1783333831151883139,109505,38386,186591,203165,148653,truth
1783333831151883140,109505,38400,186591,203165,148653,truth
1783333831151883141,109505,38386,186591,203165,148653,truth
1783333831151883142,109526,38400,186591,203165,148653,truth
1783333831151883143,109526,38420,186591,203165,148653,truth
1783333831151883144,109547,38427,186591,203165,148653,truth
1783333831189172894,109547,38420,186602,203130,148695,truth
1783333831189172895,109547,38447,186602,203130,148695,truth
1783333831189172896,109568,38441,186602,203130,148695,truth
1783333831189172897,109568,38454,186602,203130,148695,truth
1783333831189172898,109630,38441,186602,203130,148695,truth
1783333831189172899,109609,38454,186602,203130,148695,truth
1783333831189172900,109630,38461,186602,203130,148695,truth
1783333831189172901,109630,38482,186602,203130,148695,truth
1783333831189172902,109630,38461,186602,203130,148695,truth
1783333831189172903,109609,38502,186602,203130,148695,truth
1783333831189172904,109651,38502,186602,203130,148695,truth
1783333831189172905,109672,38502,186602,203130,148695,truth
1783333831189172906,109693,38502,186602,203130,148695,truth
1783333831189172907,109693,38523,186602,203130,148695,truth
1783333831189172908,109693,38509,186602,203130,148695,truth
1783333831231473420,109714,38543,186563,203040,148616,truth
1783333831231473421,109735,38537,186563,203040,148616,truth
1783333831231473422,109735,38550,186563,203040,148616,truth
1783333831231473423,109756,38537,186563,203040,148616,truth
1783333831231473424,109735,38543,186563,203040,148616,truth
1783333831231473425,109714,38543,186563,203040,148616,truth
1783333831231473426,109777,38564,186563,203040,148616,truth
1783333831231473427,109777,38564,186563,203040,148616,truth
1783333831231473428,109735,38571,186563,203040,148616,truth
1783333831231473429,109777,38550,186563,203040,148616,truth
1783333831231473430,109756,38550,186563,203040,148616,truth
1783333831231473431,109756,38550,186563,203040,148616,truth
1783333831231473432,109756,38550,186563,203040,148616,truth
1783333831231473433,109735,38543,186563,203040,148616,truth
1783333831231473434,109693,38557,186563,203040,148616,truth
1783333831231473435,109672,38543,186563,203040,148616,truth
1783333831231473436,109714,38530,186563,203040,148616,truth
1783333831274960704,109714,38537,186562,203121,148689,truth
1783333831274960705,109672,38537,186562,203121,148689,truth
1783333831274960706,109693,38509,186562,203121,148689,truth
1783333831274960707,109714,38523,186562,203121,148689,truth
1783333831274960708,109714,38509,186562,203121,148689,truth
1783333831274960709,109672,38502,186562,203121,148689,truth
1783333831274960710,109693,38502,186562,203121,148689,truth
1783333831274960711,109672,38523,186562,203121,148689,truth
1783333831274960712,109693,38516,186562,203121,148689,truth
1783333831274960713,109630,38509,186562,203121,148689,truth
1783333831274960714,109672,38509,186562,203121,148689,truth
1783333831274960715,109651,38502,186562,203121,148689,truth
1783333831274960716,109672,38461,186562,203121,148689,truth
1783333831274960717,109651,38488,186562,203121,148689,truth
1783333831274960718,109630,38482,186562,203121,148689,truth
1783333831274960719,109589,38488,186562,203121,148689,truth
1783333831274960720,109651,38461,186562,203121,148689,truth
1783333831318020834,109609,38475,186702,203245,148767,truth
1783333831318020835,109630,38482,186702,203245,148767,truth
1783333831318020836,109609,38482,186702,203245,148767,truth
1783333831318020837,109630,38447,186702,203245,148767,truth
1783333831318020838,109589,38461,186702,203245,148767,truth
1783333831318020839,109589,38461,186702,203245,148767,truth
1783333831318020840,109609,38468,186702,203245,148767,truth
1783333831318020841,109609,38482,186702,203245,148767,truth
1783333831318020842,109630,38482,186702,203245,148767,truth
1783333831318020843,109609,38468,186702,203245,148767,truth
1783333831318020844,109651,38482,186702,203245,148767,truth
1783333831318020845,109651,38475,186702,203245,148767,truth
1783333831318020846,109651,38482,186702,203245,148767,truth
1783333831318020847,109672,38468,186702,203245,148767,truth
1783333831318020848,109651,38502,186702,203245,148767,truth
1783333831318020849,109651,38488,186702,203245,148767,truth
1783333831318020850,109672,38502,186702,203245,148767,truth
1783333831359082540,109672,38482,186750,203329,148819,truth
1783333831359082541,109672,38523,186750,203329,148819,truth
1783333831359082542,109693,38495,186750,203329,148819,truth
1783333831359082543,109672,38516,186750,203329,148819,truth
1783333831359082544,109672,38502,186750,203329,148819,truth
1783333831359082545,109693,38523,186750,203329,148819,truth
1783333831359082546,109735,38509,186750,203329,148819,truth
1783333831359082547,109672,38537,186750,203329,148819,truth
1783333831359082548,109714,38537,186750,203329,148819,truth
1783333831359082549,109714,38530,186750,203329,148819,truth
1783333831359082550,109756,38537,186750,203329,148819,truth
1783333831359082551,109756,38557,186750,203329,148819,truth
1783333831359082552,109777,38557,186750,203329,148819,truth
1783333831359082553,109777,38578,186750,203329,148819,truth
1783333831359082554,109797,38564,186750,203329,148819,truth
1783333831359082555,109818,38598,186750,203329,148819,truth
1783333831359082556,109777,38571,186750,203329,148819,truth
1783333831398875882,109777,38578,186852,203397,148889,truth
1783333831398875883,109797,38578,186852,203397,148889,truth
1783333831398875884,109818,38598,186852,203397,148889,truth
1783333831398875885,109777,38592,186852,203397,148889,truth
1783333831398875886,109818,38640,186852,203397,148889,truth
1783333831398875887,109860,38598,186852,203397,148889,truth
1783333831398875888,109860,38640,186852,203397,148889,truth
1783333831398875889,109860,38619,186852,203397,148889,truth
1783333831398875890,109839,38640,186852,203397,148889,truth
1783333831398875891,109860,38626,186852,203397,148889,truth
1783333831398875892,109860,38640,186852,203397,148889,truth
1783333831398875893,109881,38640,186852,203397,148889,truth
1783333831398875894,109902,38654,186852,203397,148889,truth
1783333831398875895,109881,38654,186852,203397,148889,truth
1783333831398875896,109902,38661,186852,203397,148889,truth
1783333831398875897,109923,38681,186852,203397,148889,truth
1783333831449216544,109923,38675,186946,203566,148956,truth
1783333831449216545,109944,38681,186946,203566,148956,truth
1783333831449216546,109944,38681,186946,203566,148956,truth
1783333831449216547,109923,38681,186946,203566,148956,truth
1783333831449216548,109965,38688,186946,203566,148956,truth
1783333831449216549,109944,38675,186946,203566,148956,truth
1783333831449216550,109965,38702,186946,203566,148956,truth
1783333831449216551,109986,38681,186946,203566,148956,truth
1783333831449216552,109986,38716,186946,203566,148956,truth
1783333831449216553,109944,38709,186946,203566,148956,truth
1783333831449216554,110007,38702,186946,203566,148956,truth
1783333831449216555,110007,38702,186946,203566,148956,truth
1783333831449216556,110007,38730,186946,203566,148956,truth
1783333831449216557,110049,38695,186946,203566,148956,truth
1783333831449216558,110007,38730,186946,203566,148956,truth
1783333831449216559,110007,38716,186946,203566,148956,truth
1783333831449216560,110007,38758,186946,203566,148956,truth
1783333831484101139,110049,38751,187084,203698,149100,truth
1783333831484101140,110049,38758,187084,203698,149100,truth
1783333831484101141,110070,38765,187084,203698,149100,truth
1783333831484101142,110070,38744,187084,203698,149100,truth
1783333831484101143,110070,38758,187084,203698,149100,truth
1783333831484101144,110091,38772,187084,203698,149100,truth
1783333831484101145,110049,38779,187084,203698,149100,truth
1783333831484101146,110112,38793,187084,203698,149100,truth
1783333831484101147,110091,38765,187084,203698,149100,truth
1783333831484101148,110112,38786,187084,203698,149100,truth
1783333831484101149,110112,38786,187084,203698,149100,truth
1783333831484101150,110112,38793,187084,203698,149100,truth
1783333831484101151,110133,38786,187084,203698,149100,truth
1783333831484101152,110133,38786,187084,203698,149100,truth
1783333831484101153,110091,38786,187084,203698,149100,truth
1783333831484101154,110133,38820,187084,203698,149100,truth
1783333831484101155,110112,38800,187084,203698,149100,truth
1783333831526356559,110154,38793,187162,203762,149112,truth
1783333831526356560,110133,38807,187162,203762,149112,truth
1783333831526356561,110218,38814,187162,203762,149112,truth
1783333831526356562,110154,38800,187162,203762,149112,truth
1783333831526356563,110197,38820,187162,203762,149112,truth
1783333831526356564,110175,38820,187162,203762,149112,truth
1783333831526356565,110218,38827,187162,203762,149112,truth
1783333831526356566,110197,38848,187162,203762,149112,truth
1783333831526356567,110154,38834,187162,203762,149112,truth
1783333831526356568,110154,38827,187162,203762,149112,truth
1783333831526356569,110218,38855,187162,203762,149112,truth
1783333831526356570,110239,38862,187162,203762,149112,truth
1783333831526356571,110218,38855,187162,203762,149112,truth
1783333831526356572,110239,38862,187162,203762,149112,truth
1783333831526356573,110239,38855,187162,203762,149112,truth
1783333831526356574,110239,38869,187162,203762,149112,truth
1783333831526356575,110239,38876,187162,203762,149112,truth
1783333831566195081,110260,38890,187062,203602,149065,truth
1783333831566195082,110239,38890,187062,203602,149065,truth
1783333831566195083,110281,38876,187062,203602,149065,truth
1783333831566195084,110302,38918,187062,203602,149065,truth
1783333831566195085,110302,38904,187062,203602,149065,truth
1783333831566195086,110281,38897,187062,203602,149065,truth
1783333831566195087,110281,38876,187062,203602,149065,truth
1783333831566195088,110260,38904,187062,203602,149065,truth
1783333831566195089,110323,38897,187062,203602,149065,truth
1783333831566195090,110302,38925,187062,203602,149065,truth
1783333831566195091,110323,38911,187062,203602,149065,truth
1783333831566195092,110302,38946,187062,203602,149065,truth
1783333831566195093,110323,38932,187062,203602,149065,truth
1783333831566195094,110302,38925,187062,203602,149065,truth
1783333831566195095,110323,38939,187062,203602,149065,truth
1783333831566195096,110344,38932,187062,203602,149065,truth
1783333831609644781,110323,38939,186965,203470,149013,truth
1783333831609644782,110344,38961,186965,203470,149013,truth
1783333831609644783,110323,38939,186965,203470,149013,truth
1783333831609644784,110344,38975,186965,203470,149013,truth
1783333831609644785,110323,38946,186965,203470,149013,truth
1783333831609644786,110365,38954,186965,203470,149013,truth
1783333831609644787,110344,38954,186965,203470,149013,truth
1783333831609644788,110365,38954,186965,203470,149013,truth
1783333831609644789,110365,38939,186965,203470,149013,truth
1783333831609644790,110387,38968,186965,203470,149013,truth
1783333831609644791,110387,38961,186965,203470,149013,truth
1783333831609644792,110387,38975,186965,203470,149013,truth
1783333831609644793,110365,38968,186965,203470,149013,truth
1783333831609644794,110344,38968,186965,203470,149013,truth
1783333831609644795,110365,38954,186965,203470,149013,truth
1783333831609644796,110387,38968,186965,203470,149013,truth
1783333831647118997,110365,38939,186966,203569,149010,truth
1783333831647118998,110323,38954,186966,203569,149010,truth
1783333831647118999,110344,38918,186966,203569,149010,truth
1783333831647119000,110302,38932,186966,203569,149010,truth
1783333831647119001,110302,38883,186966,203569,149010,truth
1783333831647119002,110281,38918,186966,203569,149010,truth
1783333831647119003,110260,38855,186966,203569,149010,truth
1783333831647119004,110218,38862,186966,203569,149010,truth
1783333831647119005,110175,38841,186966,203569,149010,truth
1783333831647119006,110154,38786,186966,203569,149010,truth
1783333831647119007,110133,38793,186966,203569,149010,truth
1783333831647119008,110049,38744,186966,203569,149010,truth
1783333831647119009,110028,38723,186966,203569,149010,truth
1783333831647119010,110028,38716,186966,203569,149010,truth
1783333831647119011,109986,38681,186966,203569,149010,truth
1783333831647119012,109944,38681,186966,203569,149010,truth
1783333831688703161,109839,38612,186981,203568,149010,truth
1783333831688703162,109839,38592,186981,203568,149010,truth
1783333831688703163,109777,38578,186981,203568,149010,truth
1783333831688703164,109756,38543,186981,203568,149010,truth
1783333831688703165,109714,38523,186981,203568,149010,truth
1783333831688703166,109693,38502,186981,203568,149010,truth
1783333831688703167,109630,38468,186981,203568,149010,truth
1783333831688703168,109589,38475,186981,203568,149010,truth
1783333831688703169,109589,38434,186981,203568,149010,truth
1783333831688703170,109547,38406,186981,203568,149010,truth
1783333831688703171,109547,38393,186981,203568,149010,truth
1783333831688703172,109505,38393,186981,203568,149010,truth
1783333831688703173,109464,38365,186981,203568,149010,truth
1783333831688703174,109484,38386,186981,203568,149010,truth
1783333831688703175,109443,38331,186981,203568,149010,truth
1783333831688703176,109464,38338,186981,203568,149010,truth
