host_timestamp_ns,red,infrared,ppg0,ppg1,ppg2,label
1783770845051196280,73682,47337,406532,360143,261003,truth
1783770845051196281,73669,47376,406532,360143,261003,truth
1783770845093872316,73694,47352,405568,359474,260306,truth
1783770845093872317,73720,47360,405568,359474,260306,truth
1783770845093872318,73720,47368,405568,359474,260306,truth
1783770845093872319,73694,47368,405568,359474,260306,truth
1783770845093872320,73732,47391,405568,359474,260306,truth
1783770845093872321,73657,47391,405568,359474,260306,truth
1783770845093872322,73720,47407,405568,359474,260306,truth
1783770845093872323,73732,47430,405568,359474,260306,truth
1783770845093872324,73732,47415,405568,359474,260306,truth
1783770845093872325,73720,47423,405568,359474,260306,truth
1783770845093872326,73707,47415,405568,359474,260306,truth
1783770845093872327,73707,47423,405568,359474,260306,truth
1783770845093872328,73720,47446,405568,359474,260306,truth
1783770845093872329,73757,47438,405568,359474,260306,truth
1783770845093872330,73757,47438,405568,359474,260306,truth
1783770845093872331,73770,47477,405568,359474,260306,truth
1783770845093872332,73808,47477,405568,359474,260306,truth
1783770845136774297,73770,47509,404479,358711,259555,truth
1783770845136774298,73795,47485,404479,358711,259555,truth
1783770845136774299,73795,47493,404479,358711,259555,truth
1783770845136774300,73770,47501,404479,358711,259555,truth
1783770845136774301,73795,47516,404479,358711,259555,truth
1783770845136774302,73808,47524,404479,358711,259555,truth
1783770845136774303,73795,47540,404479,358711,259555,truth
1783770845136774304,73833,47540,404479,358711,259555,truth
1783770845136774305,73833,47556,404479,358711,259555,truth
1783770845136774306,73846,47540,404479,358711,259555,truth
1783770845136774307,73858,47548,404479,358711,259555,truth
1783770845136774308,73833,47556,404479,358711,259555,truth
1783770845136774309,73833,47571,404479,358711,259555,truth
1783770845136774310,73846,47571,404479,358711,259555,truth
1783770845136774311,73858,47579,404479,358711,259555,truth
1783770845136774312,73858,47611,404479,358711,259555,truth
1783770845177855908,73871,47611,403352,357825,258896,truth
1783770845177855909,73871,47611,403352,357825,258896,truth
1783770845177855910,73884,47611,403352,357825,258896,truth
1783770845177855911,73846,47611,403352,357825,258896,truth
1783770845177855912,73846,47611,403352,357825,258896,truth
1783770845177855913,73884,47634,403352,357825,258896,truth
1783770845177855914,73896,47650,403352,357825,258896,truth
1783770845177855915,73884,47634,403352,357825,258896,truth
1783770845177855916,73858,47642,403352,357825,258896,truth
1783770845177855917,73896,47666,403352,357825,258896,truth
1783770845177855918,73896,47642,403352,357825,258896,truth
1783770845177855919,73896,47626,403352,357825,258896,truth
1783770845177855920,73884,47658,403352,357825,258896,truth
1783770845177855921,73909,47674,403352,357825,258896,truth
1783770845177855922,73909,47666,403352,357825,258896,truth
1783770845177855923,73921,47650,403352,357825,258896,truth
1783770845177855924,73909,47666,403352,357825,258896,truth
1783770845213559222,73934,47682,403094,357607,258720,truth
1783770845213559223,73896,47674,403094,357607,258720,truth
1783770845213559224,73909,47666,403094,357607,258720,truth
1783770845213559225,73921,47682,403094,357607,258720,truth
1783770845213559226,73921,47682,403094,357607,258720,truth
1783770845213559227,73921,47682,403094,357607,258720,truth
1783770845213559228,73884,47658,403094,357607,258720,truth
1783770845213559229,73921,47697,403094,357607,258720,truth
1783770845213559230,73884,47682,403094,357607,258720,truth
