host_timestamp_ns,host_timestamp_iso,pmd_timestamp,ppg0,ppg1,ppg2,ambient
1783422521191547382,2026-07-07T18:08:41.191+07:00,540284099934266926,214720,190721,198106,1365
1783422521209729200,2026-07-07T18:08:41.209+07:00,540284099934266926,214563,190640,197983,1304
1783422521227911018,2026-07-07T18:08:41.227+07:00,540284099934266926,214528,190549,197873,1297
1783422521246092836,2026-07-07T18:08:41.246+07:00,540284099934266926,214495,190428,197798,1273
1783422521264274654,2026-07-07T18:08:41.264+07:00,540284099934266926,214437,190412,197756,1279
1783422521282456472,2026-07-07T18:08:41.282+07:00,540284099934266926,214480,190362,197677,1283
1783422521300638290,2026-07-07T18:08:41.300+07:00,540284099934266926,214409,190324,197612,1255
1783422521318820108,2026-07-07T18:08:41.318+07:00,540284099934266926,214353,190183,197583,1271
1783422521337001926,2026-07-07T18:08:41.337+07:00,540284099934266926,214327,190095,197494,1269
1783422521355183744,2026-07-07T18:08:41.355+07:00,540284099934266926,214247,190102,197364,1322
1783422521373365562,2026-07-07T18:08:41.373+07:00,540284099934266926,214278,190237,197234,1214
1783422521391547380,2026-07-07T18:08:41.391+07:00,540284099934266926,214500,190585,197154,1226
1783422521409729198,2026-07-07T18:08:41.409+07:00,540284099934266926,214950,191175,197120,1266
1783422521427911016,2026-07-07T18:08:41.427+07:00,540284099934266926,215420,191643,197014,1315
1783422521446092834,2026-07-07T18:08:41.446+07:00,540284099934266926,215758,191686,197063,1307
1783422521464274652,2026-07-07T18:08:41.464+07:00,540284099934266926,215931,191428,197308,1362
1783422521482456470,2026-07-07T18:08:41.482+07:00,540284099934266926,215397,190727,196960,1317
1783422521500638288,2026-07-07T18:08:41.500+07:00,540284099934266926,214510,190186,196276,1353
1783422521518820106,2026-07-07T18:08:41.518+07:00,540284099934266926,214017,189885,195204,1355
1783422521537001924,2026-07-07T18:08:41.537+07:00,540284099934266926,214095,189541,194493,1347
1783422521555183742,2026-07-07T18:08:41.555+07:00,540284099934266926,214199,189144,194213,1338
1783422521573365560,2026-07-07T18:08:41.573+07:00,540284099934266926,214461,188916,193960,1296
1783422521591547378,2026-07-07T18:08:41.591+07:00,540284099934266926,214649,188841,193758,1288
1783422521609729196,2026-07-07T18:08:41.609+07:00,540284099934266926,215103,188869,193547,1291
1783422521627911014,2026-07-07T18:08:41.627+07:00,540284099934266926,215620,189089,193473,1337
1783422521646092832,2026-07-07T18:08:41.646+07:00,540284099934266926,216153,189364,193416,1335
1783422521664274650,2026-07-07T18:08:41.664+07:00,540284099934266926,216543,189675,193377,1313
1783422521682456468,2026-07-07T18:08:41.682+07:00,540284099934266926,216847,189692,193247,1297
1783422521700638286,2026-07-07T18:08:41.700+07:00,540284099934266926,216748,189593,192966,1308
1783422521718820104,2026-07-07T18:08:41.718+07:00,540284099934266926,216736,189556,192637,1332
1783422521737001922,2026-07-07T18:08:41.737+07:00,540284099934266926,217011,189667,192457,1353
1783422521755183740,2026-07-07T18:08:41.755+07:00,540284099934266926,217544,189953,192554,1375
1783422521773365558,2026-07-07T18:08:41.773+07:00,540284099934266926,218448,190406,192893,1394
1783422521791547376,2026-07-07T18:08:41.791+07:00,540284099934266926,219450,190941,193432,1410
1783422521809729194,2026-07-07T18:08:41.809+07:00,540284099934266926,220370,191449,193859,1427
1783422521827911012,2026-07-07T18:08:41.827+07:00,540284099934266926,221113,191770,194202,1390
1783422521846092830,2026-07-07T18:08:41.846+07:00,540284100571176061,221651,192076,194489,1360
1783422521864274648,2026-07-07T18:08:41.864+07:00,540284100571176061,222010,192252,194617,1354
1783422521882456466,2026-07-07T18:08:41.882+07:00,540284100571176061,222426,192438,194824,1382
1783422521900638284,2026-07-07T18:08:41.900+07:00,540284100571176061,222874,192621,195011,1368
1783422521918820102,2026-07-07T18:08:41.918+07:00,540284100571176061,223340,192825,195129,1405
1783422521937001920,2026-07-07T18:08:41.937+07:00,540284100571176061,223781,193024,195343,1409
1783422521955183738,2026-07-07T18:08:41.955+07:00,540284100571176061,224174,193161,195473,1408
1783422521973365556,2026-07-07T18:08:41.973+07:00,540284100571176061,224620,193342,195659,1406
1783422521991547374,2026-07-07T18:08:41.991+07:00,540284100571176061,225183,193514,195839,1370
1783422522009729192,2026-07-07T18:08:42.009+07:00,540284100571176061,225691,193737,196055,1405
1783422522027911010,2026-07-07T18:08:42.027+07:00,540284100571176061,226434,194208,196504,1626
1783422522046092828,2026-07-07T18:08:42.046+07:00,540284100571176061,227078,194508,196854,1678
1783422522064274646,2026-07-07T18:08:42.064+07:00,540284100571176061,227603,194731,197171,1612
1783422522082456464,2026-07-07T18:08:42.082+07:00,540284100571176061,228138,194967,197503,1547
1783422522100638282,2026-07-07T18:08:42.100+07:00,540284100571176061,228662,195190,197817,1549
1783422522118820100,2026-07-07T18:08:42.118+07:00,540284100571176061,229181,195373,198157,1528
1783422522137001918,2026-07-07T18:08:42.137+07:00,540284100571176061,229827,195521,198574,1513
1783422522155183736,2026-07-07T18:08:42.155+07:00,540284100571176061,230552,195639,198973,1485
1783422522173365554,2026-07-07T18:08:42.173+07:00,540284100571176061,231386,195708,199437,1465
1783422522191547372,2026-07-07T18:08:42.191+07:00,540284100571176061,232261,195857,200037,1444
1783422522209729190,2026-07-07T18:08:42.209+07:00,540284100571176061,233206,195904,200721,1457
1783422522227911008,2026-07-07T18:08:42.227+07:00,540284100571176061,234067,196051,201501,1462
1783422522246092826,2026-07-07T18:08:42.246+07:00,540284100571176061,234717,196156,202271,1442
1783422522264274644,2026-07-07T18:08:42.264+07:00,540284100571176061,235264,196189,203123,1426
1783422522282456462,2026-07-07T18:08:42.282+07:00,540284100571176061,235803,196323,203907,1444
