,red_Mean_NN,red_Median_NN,red_Heart_Rate,red_Mean_HR,red_SDNN,red_SDSD,red_RMSSD,red_NN_Count,red_SD1,red_SD2,red_SD1_SD2,infrared_Mean_NN,infrared_Median_NN,infrared_Heart_Rate,infrared_Mean_HR,infrared_SDNN,infrared_SDSD,infrared_RMSSD,infrared_NN_Count,infrared_SD1,infrared_SD2,infrared_SD1_SD2,ppg0_Mean_NN,ppg0_Median_NN,ppg0_Heart_Rate,ppg0_Mean_HR,ppg0_SDNN,ppg0_SDSD,ppg0_RMSSD,ppg0_NN_Count,ppg0_SD1,ppg0_SD2,ppg0_SD1_SD2,ppg1_Mean_NN,ppg1_Median_NN,ppg1_Heart_Rate,ppg1_Mean_HR,ppg1_SDNN,ppg1_SDSD,ppg1_RMSSD,ppg1_NN_Count,ppg1_SD1,ppg1_SD2,ppg1_SD1_SD2,ppg2_Mean_NN,ppg2_Median_NN,ppg2_Heart_Rate,ppg2_Mean_HR,ppg2_SDNN,ppg2_SDSD,ppg2_RMSSD,ppg2_NN_Count,ppg2_SD1,ppg2_SD2,ppg2_SD1_SD2
red_Mean_NN,160531.85757374848,122248.0834348454,-2991.972659292315,-3003.423752012418,74330.61035057183,115226.31319226055,113713.55995179566,-6562.916449288642,81477.30742937273,87991.41996657626,6.777647353526883,162934.3789002137,104769.68274131932,-2434.7817573796715,-2529.072401482562,87295.18690891108,138649.42514668766,135163.17217521011,-5802.785464419795,98080.90191122648,101639.71037087991,7.213109366342478,11445.860373877302,5389.695260663643,-527.5129703877451,-672.464761117741,-385.8205387039892,1855.4914939228977,1741.8986521013233,-2184.369133389333,1312.0306177868827,-1135.1537948397317,3.3388701335644906,14363.829197588331,10313.27040327254,-828.158932751906,-823.6215351150844,1436.4652471563277,2902.338188095892,2798.807396827184,-2677.868151457398,2052.2630140992937,1526.3246437378398,1.1268864807666594,13231.958169590112,12174.844892518413,-791.3184408864953,-824.6387277035016,-3459.9399534673626,-3628.1197858681053,-3683.6871633404176,-2468.026190136936,-2565.4681035443195,-4562.664732962771,0.8209637450122618
red_Median_NN,122248.0834348454,115229.31736352852,-2249.551501648662,-2267.17640594365,36000.66397193861,57923.60417494097,56898.799794959064,-4397.833676540165,40958.17330286624,42017.2166166093,4.779053897357122,118131.91055879115,95384.3015375117,-1945.9010706302317,-2095.9369658884357,33335.612714742645,60286.35953934314,57471.30678298088,-3907.4821453712543,42597.33912214449,36935.43546431791,5.555691010496372,6605.131565473268,5039.820900382979,-339.8784337800227,-426.84653923945876,-4156.761451377106,-3758.179500947793,-3842.7170181258325,-1162.4348378004606,-2657.434210036423,-5680.242413999618,2.836081909469395,7951.379846788481,7563.1091000020815,-468.6396631725691,-500.4947066536877,-2915.6583913248764,-3015.7418470385264,-3081.9633620838827,-1433.6478028634474,-2132.4515103489957,-3872.6726362336226,1.326487415181717,7550.800161172597,9191.14544812111,-543.0247188255964,-520.3400688655305,-6666.651328523549,-7755.673520199892,-7785.0871063680925,-1338.7979980088303,-5484.089338802258,-8605.834573058139,1.3852041626547829
red_Heart_Rate,-2991.972659292315,-2249.551501648662,1638.6522529110061,98.61554347683007,-1359.6085202820361,-2255.971837721908,-2231.1833676162914,172.02893063834452,-1595.2129846190405,-1566.7889621118543,-0.22306426091137913,-3433.4026573685383,-2359.969562157823,254.2100660962302,94.51821702534576,-1149.9284545775154,-2087.269454920111,-2076.630000884997,138.77110860775716,-1481.4119891079952,-1217.7171809490683,-0.2757960486129586,-232.77350330566637,-51.71541556424723,34.64094890046292,16.429890175973952,75.48296059107051,54.38923064804371,55.26482643596902,47.06553586730022,38.458993814747814,106.61024720984304,-0.059340941672962555,-362.8551626049345,-232.66462946930122,31.227623339383598,21.84349568097203,-48.62846311000841,-86.28080865172446,-84.84338153172915,66.33515516155607,-61.0097448838947,-55.07572994806251,-0.021444722451334598,-267.72836444315624,-247.08145881639228,18.155179511877414,21.19876306955268,294.3272169039435,344.1946591680723,343.50374433985036,53.86909410430895,243.38237754593712,379.44328871373256,-0.03933059468501232
red_Mean_HR,-3003.423752012418,-2267.17640594365,98.61554347683007,105.99944871292962,-1077.876855847988,-1871.0893984997372,-1845.6966303770591,160.9474032675527,-1323.0600018854216,-1218.2482748865941,-0.2215182235189652,-3431.9509547305997,-2479.459509376181,91.08825034650195,107.22043856332998,-518.8449963205184,-1403.949173902579,-1346.3256230909312,135.14330161639842,-991.9201115801337,-445.27138470447045,-0.29482834349449283,-197.9107317652175,-52.48131258333304,8.943828512162145,14.298196935703945,106.42645522159306,68.04333319848168,67.81305631851347,26.450330699514303,48.11390231917883,152.9144485909623,-0.1225184424510924,-375.1509101777968,-216.36008747354205,24.644974977842605,22.485688996222272,-49.42226721909398,-99.62005312357118,-98.67486938169803,53.512507928486414,-70.44201510584314,-52.54140037708638,-0.04714811264283834,-331.29378838218236,-258.8086104974256,25.55129841135878,22.178941226927165,106.24240873499247,98.45428252822128,98.47330487391481,46.325678521584614,69.61769081256067,144.01996059467896,-0.06199914737470338
red_SDNN,74330.61035057183,36000.66397193861,-1359.6085202820361,-1077.876855847988,81113.90938299731,118551.07103332436,117316.74940475167,-4518.768535955566,83828.26624459142,98097.6343089214,3.077975816723081,110350.28967245771,50082.53190231443,-706.174616448997,-348.0825656026536,120087.71045871315,167404.3581442184,165376.862840928,-4032.702081780782,118518.60932967205,145946.8366737694,0.8693235427420712,7046.166328327359,1874.2218719225232,-342.82209082389386,-398.0296328062931,2486.43894126322,4103.978752580872,4056.5052871624735,-1638.541857365799,2901.9512057954707,2894.0788902703284,0.5855806811449665,6114.067513663657,4395.462917588376,-342.25474796446326,-356.9135275004858,514.8469809500328,884.8871040277226,844.7191231927397,-1422.640671062871,625.7096718425099,596.5011327271105,-0.16350828756139132,5571.573166434762,4928.67424701885,-190.75564566676624,-364.4698449021845,-1577.711942095368,-1965.2522836909025,-1977.7140924954476,-1374.1955499660858,-1389.643216540093,-1982.8741214415554,-0.6189517092137083
red_SDSD,115226.31319226055,57923.60417494097,-2255.971837721908,-1871.0893984997372,118551.07103332436,177957.63293864822,176056.52926809824,-6886.206234358786,125835.04901482425,142040.28845699402,7.83387931819161,172452.85207239355,84184.40967582092,-1415.2481579377438,-900.2886076482159,169925.2695632352,240262.3363627148,237371.2020186403,-6172.623892355778,170121.14658294318,205155.9710568022,2.561225527986959,10855.703893257025,2950.3599809221905,-533.536714128695,-622.1316575195472,3166.8477826383123,5408.315657128237,5338.899622653958,-2459.874749244207,3824.2566759527967,3638.6854431705947,1.0048438801521067,10468.835724005226,7143.3090399532875,-542.6599239457404,-605.2368803284237,1425.310235136348,2233.0185287710788,2169.834386144263,-2314.4795990882494,1578.9825442092247,1699.00112624847,-0.1874094754183187,9610.82203302781,7956.878755419827,-307.68614584144314,-612.5190772356135,-1808.6429810902905,-2184.9195370241846,-2209.189201216517,-2219.9205861582686,-1544.9714209766362,-2284.8933510361294,-0.8590738086212087
red_RMSSD,113713.55995179566,56898.799794959064,-2231.1833676162914,-1845.6966303770591,117316.74940475167,176056.52926809824,174198.46734598692,-6800.736960192413,124490.76571763975,140576.25846526292,7.7377477829750365,168585.91296844825,81101.86123421049,-1396.6886788010147,-883.1242076193286,168355.64249858595,238089.4695147415,235050.96317226655,-6095.724924966267,168559.8021323194,203489.78911487607,2.496364545263356,10679.420447008288,2842.803207867046,-527.7936518470648,-613.1364916908982,3135.672701113621,5348.784340828527,5283.100744385431,-2405.0867354881016,3782.161678504296,3604.703976414211,0.9808026650693598,10294.494890516253,6996.20747901275,-533.3779050803465,-595.9173681674002,1414.272722011007,2208.8927924237023,2148.3550514842586,-2257.836099347313,1561.9230724368547,1687.7646420908359,-0.19780193911731378,9441.803874384279,7790.714640509777,-300.78610532860466,-602.9888933336406,-1772.4260184485333,-2141.3501000438882,-2163.4773031658547,-2164.967718945321,-1514.1631766353912,-2238.617303319715,-0.8603104199291555
red_NN_Count,-6562.916449288642,-4397.833676540165,172.02893063834452,160.9474032675527,-4518.768535955566,-6886.206234358786,-6800.736960192413,1779.7160398283268,-4869.283124964208,-5382.564658101296,-0.38480172011132274,-8319.610299254766,-4493.969273920751,144.3240388541603,126.55186849222837,-6637.156879705206,-9615.578780815193,-9782.113979475485,1621.6917238631424,-6839.891814266946,-7649.609507191733,-0.37438983410775,-472.79642476734364,-130.31075717024092,18.402052648253274,32.27287850921311,130.8756712458081,33.49219866295227,41.94221748043514,2248.7100239388988,23.68256079141601,201.63426047910966,-0.21169737268001135,-515.9409714097497,-397.2202135931051,32.77913572618649,34.3564721496516,152.91329428234252,143.36110449471497,149.12441678134783,2246.7989277691904,101.37160914660825,206.7784061906617,-0.08186659353016142,-443.0066219860627,-483.43258631298295,31.749351713939173,35.144350723483996,458.0351971705836,529.5468014729232,533.216186857378,2227.5056461804415,374.44613427714467,592.1599518985348,-0.09206045221758416
red_SD1,81477.30742937273,40958.17330286624,-1595.2129846190405,-1323.0600018854216,83828.26624459142,125835.04901482425,124490.76571763975,-4869.283124964208,88978.81646932388,100437.65116963391,5.539389188890368,121942.58113534965,59527.366951959324,-1000.7315695395556,-636.6001794930582,120155.31040311557,169891.127305799,167846.78660578222,-4364.704211998857,120293.81637202925,145067.17833517553,1.8110599389876767,7676.14183747521,2086.219549451496,-377.2674285723869,-439.91351382289787,2239.2995420891175,3824.2566759527544,3775.172127252879,-1739.3941160601332,2704.157828564133,2572.9391514706876,0.7105319216893725,7402.584731572068,5051.082262262143,-383.71851210020975,-427.96710230442125,1007.8465325595099,1578.9825442092767,1534.3046084943735,-1636.5842194332185,1116.5092643855357,1201.3752176138637,-0.13251851092688863,6795.877432331034,5626.362925036548,-217.5669602016369,-433.1163931194293,-1278.9037166744163,-1544.9714209767958,-1562.1326651042873,-1569.7209001681292,-1092.4597685119961,-1615.663582805745,-0.6074569156157914
red_SD2,87991.41996657626,42017.2166166093,-1566.7889621118543,-1218.2482748865941,98097.6343089214,142040.28845699402,140576.25846526292,-5382.564658101296,100437.65116963391,119017.47579054613,2.7763120238395613,130151.96479211892,57318.646762663106,-745.2786977310332,-307.78239950257205,146833.21362774403,203754.27651530632,201236.68742026793,-4796.111435795856,144242.35737170928,178882.36309343035,0.678701681151056,8357.587725144418,2205.2950703497054,-405.25263125514584,-469.720966278577,3130.5373051761762,5116.328200652128,5059.311933833901,-1959.9604001390246,3617.7903654570964,3657.0715488679475,0.663310088561512,6949.361720730647,5106.710782632741,-400.84797757051206,-407.4420697642482,425.57752000475443,793.0834211451909,746.0051337489905,-1649.5099532982508,560.7946651383579,479.6235651236426,-0.2147165096303656,6314.381984944159,5744.7160446462885,-221.04869475835633,-417.75636915331376,-2053.916985693502,-2579.271275778129,-2592.4343874482256,-1598.1914670558187,-1823.8202096222658,-2577.6376025942673,-0.7639739142914225
