feature,n_classes,classes,f_stat,p_value,eta_squared,interpretation,kw_h_stat,kw_p_value,base_n,base_mean,base_std,base_median,truth_n,truth_mean,truth_std,truth_median,deceptive_n,deceptive_mean,deceptive_std,deceptive_median
Heart_Rate,3,"base, deceptive, truth",25.973680847927238,5.667031387770785e-12,0.00594231005364658,negligible,56.235298827272224,6.146954742028423e-13,3311.0,64.66903550830216,15.912365240489326,63.82602856044654,,,,,,,,
Heart_Rate,3,"base, deceptive, truth",25.973680847927238,5.667031387770785e-12,0.00594231005364658,negligible,56.235298827272224,6.146954742028423e-13,,,,,2601.0,67.49270097305875,16.64411831371128,65.97005444481309,,,,
Heart_Rate,3,"base, deceptive, truth",25.973680847927238,5.667031387770785e-12,0.00594231005364658,negligible,56.235298827272224,6.146954742028423e-13,,,,,,,,,2781.0,64.87855742003273,16.115288119491513,63.79570096108345
Mean_HR,3,"base, deceptive, truth",219.69532283490352,8.343480374989268e-94,0.04812924133969619,small,1026.0682067767216,1.5563951552193558e-223,3311.0,66.77547847522979,5.076975224528354,68.31553734777768,,,,,,,,
Mean_HR,3,"base, deceptive, truth",219.69532283490352,8.343480374989268e-94,0.04812924133969619,small,1026.0682067767216,1.5563951552193558e-223,,,,,2601.0,69.9014818628781,5.97960095815976,71.5073058015864,,,,
Mean_HR,3,"base, deceptive, truth",219.69532283490352,8.343480374989268e-94,0.04812924133969619,small,1026.0682067767216,1.5563951552193558e-223,,,,,,,,,2781.0,67.91420127131681,6.155470815758012,69.49858581433574
Mean_NN,3,"base, deceptive, truth",19.432175347895054,3.797772438386224e-09,0.004452394851650109,negligible,46.943269721814474,6.403221108951906e-11,3311.0,1172.9878488607126,149.6559615575933,1130.3142480713666,,,,,,,,
Mean_NN,3,"base, deceptive, truth",19.432175347895054,3.797772438386224e-09,0.004452394851650109,negligible,46.943269721814474,6.403221108951906e-11,,,,,2601.0,1165.6225915769182,156.46355254812752,1124.2066974823638,,,,
Mean_NN,3,"base, deceptive, truth",19.432175347895054,3.797772438386224e-09,0.004452394851650109,negligible,46.943269721814474,6.403221108951906e-11,,,,,,,,,2781.0,1206.5816072211692,403.9601037235452,1150.0384059172266
Median_NN,3,"base, deceptive, truth",48.08615914610307,1.7027860927193857e-21,0.010945872082656743,small,547.8903807852846,1.064425986076156e-119,3311.0,1010.6365834979161,92.40357109597811,999.9351040000004,,,,,,,,
Median_NN,3,"base, deceptive, truth",48.08615914610307,1.7027860927193857e-21,0.010945872082656743,small,547.8903807852846,1.064425986076156e-119,,,,,2601.0,962.1515185211841,90.2545726462846,948.5288704000001,,,,
Median_NN,3,"base, deceptive, truth",48.08615914610307,1.7027860927193857e-21,0.010945872082656743,small,547.8903807852846,1.064425986076156e-119,,,,,,,,,2781.0,1017.9200956693755,379.2792467127634,968.8615679999999
NN_Count,3,"base, deceptive, truth",700.7299908619436,3.4659908271221276e-285,0.1249801563485346,medium,532.2014816877651,2.7159177980555744e-116,3311.0,151.7414074297795,13.53536079516911,155.2,,,,,,,,
NN_Count,3,"base, deceptive, truth",700.7299908619436,3.4659908271221276e-285,0.1249801563485346,medium,532.2014816877651,2.7159177980555744e-116,,,,,2775.0,141.66486486486485,40.6994750462786,153.0,,,,
NN_Count,3,"base, deceptive, truth",700.7299908619436,3.4659908271221276e-285,0.1249801563485346,medium,532.2014816877651,2.7159177980555744e-116,,,,,,,,,3729.0,111.17007240547063,67.18050108786352,148.8
RMSSD,3,"base, deceptive, truth",196.51239104623292,3.383841433528373e-84,0.04327025319443468,small,224.82813291722314,1.5107452892427946e-49,3311.0,854.2417609958,163.59442358349972,819.3587407566622,,,,,,,,
RMSSD,3,"base, deceptive, truth",196.51239104623292,3.383841433528373e-84,0.04327025319443468,small,224.82813291722314,1.5107452892427946e-49,,,,,2601.0,977.1041018406154,267.67090882399316,863.6481911635863,,,,
RMSSD,3,"base, deceptive, truth",196.51239104623292,3.383841433528373e-84,0.04327025319443468,small,224.82813291722314,1.5107452892427946e-49,,,,,,,,,2781.0,949.6154328161242,318.89776217177456,808.1470428269682
SD1,3,"base, deceptive, truth",192.31462797791835,1.8810373566733365e-82,0.04238512065971156,small,225.19029915548825,1.2605145101002061e-49,3311.0,606.45954062595,116.60248881343018,581.4739651893707,,,,,,,,
SD1,3,"base, deceptive, truth",192.31462797791835,1.8810373566733365e-82,0.04238512065971156,small,225.19029915548825,1.2605145101002061e-49,,,,,2601.0,693.897201575773,190.61603637567416,612.7293716603208,,,,
SD1,3,"base, deceptive, truth",192.31462797791835,1.8810373566733365e-82,0.04238512065971156,small,225.19029915548825,1.2605145101002061e-49,,,,,,,,,2781.0,673.6178098918036,230.19864350170437,573.4142528619982
SD1_SD2,3,"base, deceptive, truth",236.44194730193416,1.0258673416804295e-100,0.05160863108637176,small,523.9804562096142,1.6561116853184994e-114,3311.0,0.8027444629190877,0.028481018490864974,0.8068370435166698,,,,,,,,
SD1_SD2,3,"base, deceptive, truth",236.44194730193416,1.0258673416804295e-100,0.05160863108637176,small,523.9804562096142,1.6561116853184994e-114,,,,,2601.0,0.7868590647011827,0.02712806298839671,0.7867491869847547,,,,
SD1_SD2,3,"base, deceptive, truth",236.44194730193416,1.0258673416804295e-100,0.05160863108637176,small,523.9804562096142,1.6561116853184994e-114,,,,,,,,,2781.0,0.7916882154029593,0.03134647251675141,0.7900957094527116
