host_timestamp_ns,red,infrared,ppg0,ppg1,ppg2,label
1783771453635041656,94955,36740,233893,194055,220322,truth
1783771453635041657,94971,36753,233893,194055,220322,truth
1783771453635041658,94955,36747,233893,194055,220322,truth
1783771453635041659,94955,36734,233893,194055,220322,truth
1783771453635041660,94971,36753,233893,194055,220322,truth
1783771453635041661,94955,36772,233893,194055,220322,truth
1783771453635041662,94971,36784,233893,194055,220322,truth
1783771453635041663,95002,36778,233893,194055,220322,truth
1783771453635041664,94971,36778,233893,194055,220322,truth
1783771453677237698,95002,36791,234081,194265,220484,truth
1783771453677237699,95018,36803,234081,194265,220484,truth
1783771453677237700,95065,36822,234081,194265,220484,truth
1783771453677237701,95033,36828,234081,194265,220484,truth
1783771453677237702,95033,36828,234081,194265,220484,truth
1783771453677237703,95065,36841,234081,194265,220484,truth
1783771453677237704,95080,36853,234081,194265,220484,truth
1783771453677237705,95080,36866,234081,194265,220484,truth
1783771453677237706,95112,36885,234081,194265,220484,truth
1783771453677237707,95127,36910,234081,194265,220484,truth
1783771453677237708,95159,36897,234081,194265,220484,truth
1783771453677237709,95143,36923,234081,194265,220484,truth
1783771453677237710,95159,36929,234081,194265,220484,truth
1783771453677237711,95190,36948,234081,194265,220484,truth
1783771453677237712,95206,36929,234081,194265,220484,truth
1783771453677237713,95238,36967,234081,194265,220484,truth
1783771453677237714,95238,36973,234081,194265,220484,truth
1783771453727257784,95238,36986,234480,194505,220683,truth
1783771453727257785,95222,37005,234480,194505,220683,truth
1783771453727257786,95285,37024,234480,194505,220683,truth
1783771453727257787,95285,37037,234480,194505,220683,truth
1783771453727257788,95316,37037,234480,194505,220683,truth
1783771453727257789,95332,37068,234480,194505,220683,truth
1783771453727257790,95348,37081,234480,194505,220683,truth
1783771453727257791,95364,37068,234480,194505,220683,truth
1783771453727257792,95380,37094,234480,194505,220683,truth
1783771453727257793,95380,37119,234480,194505,220683,truth
1783771453727257794,95427,37145,234480,194505,220683,truth
1783771453727257795,95427,37151,234480,194505,220683,truth
1783771453727257796,95459,37170,234480,194505,220683,truth
1783771453727257797,95506,37177,234480,194505,220683,truth
1783771453727257798,95490,37177,234480,194505,220683,truth
1783771453727257799,95522,37202,234480,194505,220683,truth
1783771453761732963,95506,37209,234722,194531,220820,truth
1783771453761732964,95554,37222,234722,194531,220820,truth
1783771453761732965,95554,37247,234722,194531,220820,truth
1783771453761732966,95585,37254,234722,194531,220820,truth
1783771453761732967,95585,37273,234722,194531,220820,truth
1783771453761732968,95633,37299,234722,194531,220820,truth
1783771453761732969,95649,37292,234722,194531,220820,truth
1783771453761732970,95649,37312,234722,194531,220820,truth
1783771453761732971,95696,37331,234722,194531,220820,truth
1783771453761732972,95681,37357,234722,194531,220820,truth
1783771453761732973,95728,37350,234722,194531,220820,truth
1783771453761732974,95760,37370,234722,194531,220820,truth
1783771453761732975,95744,37376,234722,194531,220820,truth
1783771453761732976,95792,37383,234722,194531,220820,truth
1783771453761732977,95776,37396,234722,194531,220820,truth
1783771453761732978,95728,37383,234722,194531,220820,truth
1783771453761732979,95776,37396,234722,194531,220820,truth
1783771453797367119,95760,37383,234720,194429,220678,truth
1783771453797367120,95728,37383,234720,194429,220678,truth
1783771453797367121,95728,37363,234720,194429,220678,truth
1783771453797367122,95696,37318,234720,194429,220678,truth
1783771453797367123,95633,37312,234720,194429,220678,truth
1783771453797367124,95601,37267,234720,194429,220678,truth
1783771453797367125,95538,37247,234720,194429,220678,truth
1783771453797367126,95490,37196,234720,194429,220678,truth
1783771453797367127,95443,37164,234720,194429,220678,truth
1783771453797367128,95364,37100,234720,194429,220678,truth
1783771453797367129,95316,37062,234720,194429,220678,truth
1783771453797367130,95269,37024,234720,194429,220678,truth
1783771453797367131,95190,36960,234720,194429,220678,truth
1783771453797367132,95127,36916,234720,194429,220678,truth
1783771453797367133,95049,36897,234720,194429,220678,truth
1783771453840218745,94955,36822,234051,193824,219789,truth
1783771453840218746,94955,36772,234051,193824,219789,truth
1783771453840218747,94846,36728,234051,193824,219789,truth
1783771453840218748,94830,36684,234051,193824,219789,truth
1783771453840218749,94736,36628,234051,193824,219789,truth
1783771453840218750,94705,36603,234051,193824,219789,truth
1783771453840218751,94643,36542,234051,193824,219789,truth
1783771453840218752,94581,36492,234051,193824,219789,truth
1783771453840218753,94550,36461,234051,193824,219789,truth
1783771453840218754,94472,36431,234051,193824,219789,truth
1783771453840218755,94410,36382,234051,193824,219789,truth
1783771453840218756,94379,36339,234051,193824,219789,truth
1783771453840218757,94348,36314,234051,193824,219789,truth
1783771453840218758,94302,36290,234051,193824,219789,truth
1783771453840218759,94256,36259,234051,193824,219789,truth
1783771453840218760,94225,36247,234051,193824,219789,truth
1783771453840218761,94210,36223,234051,193824,219789,truth
1783771453886333541,94163,36193,232699,192409,218221,truth
1783771453886333542,94102,36180,232699,192409,218221,truth
1783771453886333543,94133,36150,232699,192409,218221,truth
1783771453886333544,94102,36156,232699,192409,218221,truth
1783771453886333545,94071,36156,232699,192409,218221,truth
1783771453886333546,94071,36114,232699,192409,218221,truth
1783771453886333547,94071,36120,232699,192409,218221,truth
1783771453886333548,94040,36132,232699,192409,218221,truth
1783771453886333549,94086,36126,232699,192409,218221,truth
1783771453886333550,93994,36108,232699,192409,218221,truth
1783771453886333551,94056,36108,232699,192409,218221,truth
1783771453886333552,94040,36108,232699,192409,218221,truth
1783771453886333553,94056,36114,232699,192409,218221,truth
1783771453886333554,94040,36108,232699,192409,218221,truth
1783771453886333555,94086,36114,232699,192409,218221,truth
