host_timestamp_ns,red,infrared,ppg0,ppg1,ppg2,label
1783335139032571058,115662,73220,178989,131464,170238,truth
1783335139032571059,115662,73195,178989,131464,170238,truth
1783335139032571060,115662,73220,178989,131464,170238,truth
1783335139032571061,115662,73207,178989,131464,170238,truth
1783335139032571062,115662,73220,178989,131464,170238,truth
1783335139032571063,115662,73207,178989,131464,170238,truth
1783335139032571064,115639,73232,178989,131464,170238,truth
1783335139032571065,115685,73220,178989,131464,170238,truth
1783335139032571066,115662,73220,178989,131464,170238,truth
1783335139032571067,115639,73232,178989,131464,170238,truth
1783335139032571068,115662,73257,178989,131464,170238,truth
1783335139032571069,115685,73232,178989,131464,170238,truth
1783335139032571070,115662,73245,178989,131464,170238,truth
1783335139032571071,115685,73270,178989,131464,170238,truth
1783335139032571072,115662,73220,178989,131464,170238,truth
1783335139032571073,115662,73257,178989,131464,170238,truth
1783335139032571074,115709,73270,178989,131464,170238,truth
1783335139077793795,115709,73307,178964,131359,170098,truth
1783335139077793796,115685,73319,178964,131359,170098,truth
1783335139077793797,115755,73307,178964,131359,170098,truth
1783335139077793798,115709,73332,178964,131359,170098,truth
1783335139077793799,115755,73319,178964,131359,170098,truth
1783335139077793800,115732,73332,178964,131359,170098,truth
1783335139077793801,115732,73319,178964,131359,170098,truth
1783335139077793802,115755,73357,178964,131359,170098,truth
1783335139077793803,115778,73344,178964,131359,170098,truth
1783335139077793804,115755,73382,178964,131359,170098,truth
1783335139077793805,115778,73382,178964,131359,170098,truth
1783335139077793806,115778,73382,178964,131359,170098,truth
1783335139077793807,115802,73382,178964,131359,170098,truth
1783335139077793808,115825,73406,178964,131359,170098,truth
1783335139077793809,115848,73406,178964,131359,170098,truth
1783335139077793810,115802,73444,178964,131359,170098,truth
1783335139077793811,115825,73419,178964,131359,170098,truth
1783335139117483168,115825,73444,178989,131240,169983,truth
1783335139117483169,115848,73456,178989,131240,169983,truth
1783335139117483170,115848,73431,178989,131240,169983,truth
1783335139117483171,115825,73444,178989,131240,169983,truth
1783335139117483172,115825,73481,178989,131240,169983,truth
1783335139117483173,115848,73481,178989,131240,169983,truth
1783335139117483174,115848,73506,178989,131240,169983,truth
1783335139117483175,115848,73494,178989,131240,169983,truth
1783335139117483176,115872,73506,178989,131240,169983,truth
1783335139117483177,115895,73506,178989,131240,169983,truth
1783335139117483178,115848,73531,178989,131240,169983,truth
1783335139117483179,115848,73494,178989,131240,169983,truth
1783335139117483180,115872,73531,178989,131240,169983,truth
1783335139117483181,115872,73506,178989,131240,169983,truth
1783335139117483182,115872,73531,178989,131240,169983,truth
1783335139117483183,115872,73544,178989,131240,169983,truth
1783335139117483184,115848,73544,178989,131240,169983,truth
