host_timestamp_ns,red,infrared,ppg0,ppg1,ppg2,label
1783776406177789466,67274,37299,-343494,-375199,-391679,deceptive
1783776406177789467,67132,37145,-343494,-375199,-391679,deceptive
1783776406177789468,66945,36935,-343494,-375199,-391679,deceptive
1783776406177789469,66759,36715,-343494,-375199,-391679,deceptive
1783776406177789470,66528,36523,-343494,-375199,-391679,deceptive
1783776406177789471,66252,36253,-343494,-375199,-391679,deceptive
1783776406177789472,65994,35991,-343494,-375199,-391679,deceptive
1783776406177789473,65738,35758,-343494,-375199,-391679,deceptive
1783776406177789474,65395,35476,-343494,-375199,-391679,deceptive
1783776406177789475,65187,35225,-343494,-375199,-391679,deceptive
1783776406177789476,64894,34976,-343494,-375199,-391679,deceptive
1783776406177789477,64631,34698,-343494,-375199,-391679,deceptive
1783776406177789478,64371,34466,-343494,-375199,-391679,deceptive
1783776406217852198,64113,34261,-343450,-375141,-391680,deceptive
1783776406217852199,63928,34010,-343450,-375141,-391680,deceptive
1783776406217852200,63716,33834,-343450,-375141,-391680,deceptive
1783776406217852201,63520,33652,-343450,-375141,-391680,deceptive
1783776406217852202,63394,33488,-343450,-375141,-391680,deceptive
1783776406217852203,63213,33310,-343450,-375141,-391680,deceptive
1783776406217852204,63088,33179,-343450,-375141,-391680,deceptive
1783776406217852205,62950,33057,-343450,-375141,-391680,deceptive
1783776406217852206,62813,32906,-343450,-375141,-391680,deceptive
1783776406217852207,62717,32809,-343450,-375141,-391680,deceptive
1783776406217852208,62622,32742,-343450,-375141,-391680,deceptive
1783776406217852209,62527,32667,-343450,-375141,-391680,deceptive
1783776406217852210,62486,32593,-343450,-375141,-391680,deceptive
1783776406217852211,62391,32520,-343450,-375141,-391680,deceptive
1783776406217852212,62324,32476,-343450,-375141,-391680,deceptive
1783776406217852213,62283,32417,-343450,-375141,-391680,deceptive
1783776406264118796,62229,32366,-343364,-375122,-391609,deceptive
1783776406264118797,62189,32374,-343364,-375122,-391609,deceptive
1783776406264118798,62176,32308,-343364,-375122,-391609,deceptive
1783776406264118799,62162,32308,-343364,-375122,-391609,deceptive
1783776406264118800,62135,32286,-343364,-375122,-391609,deceptive
1783776406264118801,62122,32250,-343364,-375122,-391609,deceptive
1783776406264118802,62109,32265,-343364,-375122,-391609,deceptive
1783776406264118803,62095,32279,-343364,-375122,-391609,deceptive
1783776406264118804,62162,32294,-343364,-375122,-391609,deceptive
1783776406264118805,62149,32330,-343364,-375122,-391609,deceptive
1783776406264118806,62162,32337,-343364,-375122,-391609,deceptive
1783776406264118807,62203,32359,-343364,-375122,-391609,deceptive
1783776406264118808,62256,32381,-343364,-375122,-391609,deceptive
1783776406264118809,62270,32417,-343364,-375122,-391609,deceptive
1783776406264118810,62310,32454,-343364,-375122,-391609,deceptive
1783776406264118811,62337,32483,-343364,-375122,-391609,deceptive
1783776406264118812,62391,32549,-343364,-375122,-391609,deceptive
1783776406302653595,62432,32579,-343301,-375010,-391521,deceptive
1783776406302653596,62500,32638,-343301,-375010,-391521,deceptive
1783776406302653597,62554,32675,-343301,-375010,-391521,deceptive
1783776406302653598,62581,32727,-343301,-375010,-391521,deceptive
1783776406302653599,62649,32771,-343301,-375010,-391521,deceptive
1783776406302653600,62676,32839,-343301,-375010,-391521,deceptive
1783776406302653601,62786,32906,-343301,-375010,-391521,deceptive
1783776406302653602,62840,32959,-343301,-375010,-391521,deceptive
