Subject,Model,Accuracy,Precision,Recall,Specificity,F1,ROC-AUC
andi,SVM,0.8928571428571429,0.8333333333333333,0.7782608695652173,0.7782608695652173,0.801418439716312,0.8782608695652174
andi,RandomForest,0.8571428571428571,0.7733333333333333,0.6782608695652175,0.6782608695652175,0.7083333333333333,0.7478260869565218
andi,MLP,0.8214285714285714,0.4107142857142857,0.5,0.5,0.45098039215686275,0.6347826086956522
arthur,SVM,0.7857142857142857,0.78125,0.78125,0.78125,0.78125,0.9479166666666667
arthur,RandomForest,0.9285714285714286,0.9444444444444444,0.9166666666666667,0.9166666666666667,0.9251336898395721,0.9739583333333334
arthur,MLP,0.7142857142857143,0.7575757575757576,0.6770833333333334,0.6770833333333334,0.672514619883041,0.84375
auzan,SVM,0.8571428571428571,0.9,0.8333333333333333,0.8333333333333333,0.8444444444444444,0.90625
auzan,RandomForest,0.8928571428571429,0.8957219251336899,0.8854166666666667,0.8854166666666667,0.8893280632411067,0.8958333333333333
auzan,MLP,0.8571428571428571,0.9,0.8333333333333333,0.8333333333333333,0.8444444444444444,0.8958333333333334
bowo,SVM,0.9642857142857143,0.9615384615384616,0.96875,0.96875,0.9638709677419355,1.0
bowo,RandomForest,0.9642857142857143,0.9615384615384616,0.96875,0.96875,0.9638709677419355,0.9895833333333334
bowo,MLP,1.0,1.0,1.0,1.0,1.0,1.0
daffa,SVM,0.9310344827586207,0.9,0.9523809523809523,0.9523809523809523,0.9194444444444444,0.9761904761904762
daffa,RandomForest,0.9655172413793104,0.9444444444444444,0.9761904761904762,0.9761904761904762,0.9583931133428981,0.9642857142857142
daffa,MLP,0.896551724137931,0.8636363636363636,0.9285714285714286,0.9285714285714286,0.8825910931174089,0.9464285714285715
doni,SVM,1.0,1.0,1.0,1.0,1.0,1.0
doni,RandomForest,0.8928571428571429,0.9423076923076923,0.7,0.7,0.7551020408163265,1.0
doni,MLP,0.8928571428571429,0.9423076923076923,0.7,0.7,0.7551020408163265,1.0
