,red_Mean_NN,red_Median_NN,red_Heart_Rate,red_Mean_HR,red_SDNN,red_SDSD,red_RMSSD,red_NN_Count,red_SD1,red_SD2,red_SD1_SD2,infrared_Mean_NN,infrared_Median_NN,infrared_Heart_Rate,infrared_Mean_HR,infrared_SDNN,infrared_SDSD,infrared_RMSSD,infrared_NN_Count,infrared_SD1,infrared_SD2,infrared_SD1_SD2,ppg0_Mean_NN,ppg0_Median_NN,ppg0_Heart_Rate,ppg0_Mean_HR,ppg0_SDNN,ppg0_SDSD,ppg0_RMSSD,ppg0_NN_Count,ppg0_SD1,ppg0_SD2,ppg0_SD1_SD2,ppg1_Mean_NN,ppg1_Median_NN,ppg1_Heart_Rate,ppg1_Mean_HR,ppg1_SDNN,ppg1_SDSD,ppg1_RMSSD,ppg1_NN_Count,ppg1_SD1,ppg1_SD2,ppg1_SD1_SD2,ppg2_Mean_NN,ppg2_Median_NN,ppg2_Heart_Rate,ppg2_Mean_HR,ppg2_SDNN,ppg2_SDSD,ppg2_RMSSD,ppg2_NN_Count,ppg2_SD1,ppg2_SD2,ppg2_SD1_SD2
red_Mean_NN,1.0,0.7871339563006196,-0.054309857920551714,-0.4522177977008749,0.7994952024769688,0.793156517181584,0.7925113744484223,-0.9859222812944629,0.7931565171815845,0.7948416357952215,-0.006947820694108081,0.644820555187364,0.3730457432690648,0.009527520984037077,0.09952532951329972,0.5937845397694832,0.5973885872929657,0.5971592240383804,-0.6510984113681922,0.5973885872929654,0.5891397465450954,0.1085697033450081,-0.2532948414205555,-0.02422602766538999,0.07330803065200625,0.3445600367349057,-0.10636273701897417,-0.10521378665093963,-0.10515654417762257,0.26136454882985816,-0.10521378665093971,-0.10632309489139781,0.03131638655841387,-0.3479081329460547,-0.1585821877958598,0.08838236866021126,0.4127143479880546,-0.1698336726621749,-0.16781425628652002,-0.16771761894400739,0.3431038785649427,-0.1678142562865201,-0.16952401598858938,0.048537696394659845,-0.1937414369973853,-0.08364119102877315,0.08660063402714167,0.33326866471651484,-0.09697823638088468,-0.09656909188778828,-0.09670279929395392,0.25079801859036854,-0.09656909188778871,-0.09690712543668084,0.08498721441472203
red_Median_NN,0.7871339563006196,1.0,-0.09142268931627846,-0.6415785487155032,0.3794978619314833,0.39484980737805614,0.3941527339504716,-0.8181546599747913,0.3948498073780563,0.37147770229573057,0.09730330306498837,0.5675843877295127,0.6062970984739645,-0.0395076820928829,-0.210604176480839,0.3058670401816491,0.3003447215495291,0.2999372102808889,-0.5903564372116048,0.30034472154952907,0.3058313822353587,0.01964081251124786,-0.2171544001123078,-0.04252772397653152,0.060612444451218085,0.25573197361058725,-0.12757769651406856,-0.1338468734310803,-0.13386603610216663,0.22573629517078378,-0.13384687343108012,-0.1252806626451293,-0.02623912611028215,-0.38021401307660047,-0.19424136133966355,0.11906361329383071,0.4363079023275357,-0.20204366490015782,-0.20510101920826349,-0.20503572965887895,0.3929791286745383,-0.20510101920826293,-0.20019167811780195,0.019094254826958423,-0.1588552493945003,-0.08225297637471857,0.06719402618481646,0.22219905691497135,-0.10361568877432314,-0.10542841303488916,-0.1056236162715672,0.1948372905230351,-0.10542841303489002,-0.10294160762490422,0.00808913148007818
red_Heart_Rate,-0.054309857920551714,-0.09142268931627846,1.0,0.14508381089434888,0.028059989935625623,0.023206515499890407,0.02331696145074683,0.0599059206030512,0.023206515499890248,0.029388565384531152,-0.019099321616863885,-0.017957957591583036,-0.056510583115392796,0.08502836413264904,0.060946627141011775,0.03215813156875756,0.027374736345601117,0.02743630078221858,0.018384752284535524,0.027374736345601263,0.033698427691052135,-0.04443147631210665,0.004829540388509365,-0.031349721833569925,0.0208737822538612,0.016276310450281783,0.025846910633857502,0.02404655996369093,0.02405880038030876,-6.423193750097826e-05,0.024046559963690903,0.026316266561295876,-0.009282472372152259,0.007528032043706372,-0.014550319577336686,0.026166812688122845,-0.0049734609480838535,0.011043025042691517,0.006458777488264079,0.0064289829028434,-0.011351140137575723,0.006458777488263915,0.012180709366701209,-0.011182970587127607,0.008427465757158142,-0.0006969958296919651,-0.007239588462625877,0.02690012467782009,0.02996138128229534,0.027226016775233845,0.027348510678997486,0.0008421390041775068,0.02722601677523393,0.030474775825626507,0.010951727887654417
red_Mean_HR,-0.4522177977008749,-0.6415785487155032,0.14508381089434888,1.0,0.12234046582172098,0.10104793238165333,0.10200968088482987,0.46856347675982873,0.1010479323816534,0.1277260736387016,-0.09621650932164658,-0.12801076478875112,-0.42124169347685025,0.0725591312727233,0.4843509307098761,0.1922155525208526,0.17673672420129394,0.1770233324574203,0.15263460775915477,0.17673672420129394,0.1962420780636092,-0.09169041486186864,-0.0433014992145705,0.004442418730353706,-0.03643816606819886,0.020872224189300286,-0.03320339276254923,-0.023235721750730774,-0.023148636976813464,0.04873652045708321,-0.023235721750730888,-0.03582322814930652,0.038445652541648966,0.09059850152960174,0.08775910520135492,-0.01173309111445958,-0.15894230245209273,-0.011892621568794975,0.005147798333192707,0.0051409969017736055,-0.10188124309984016,0.005147798333191919,-0.016404243777369806,0.07622710100037428,-0.03587465548472873,0.02308922659361165,0.019357545135160626,0.062029846392305056,-0.017225337199212,-0.010258331386269602,-0.010202945752293541,0.057392277753012685,-0.010258331386269406,-0.018838121362445073,0.08978314365048144
red_SDNN,0.7994952024769688,0.3794978619314833,0.028059989935625623,0.12234046582172098,1.0,0.979177311681291,0.9791357746756085,-0.7670025448127409,0.9791773116812891,0.9980713338812163,-0.07332207824424126,0.5513761731623635,0.053950809197011736,0.0695685951359469,0.43820846134185826,0.7330521905598615,0.7329731745524715,0.7329677348711298,-0.5396656607954128,0.7329731745524705,0.7289166835477081,0.09663951506785703,-0.2706739150004427,0.004552430139362177,0.04678405813183692,0.3514271555516108,-0.11718074571013594,-0.10928365326254016,-0.10917128071870612,0.28034263601782394,-0.10928365326254033,-0.11900668924586855,0.06777763847257304,-0.2699908959521257,-0.10007629759080479,0.05982487731556767,0.29292462264211006,-0.16275454619379678,-0.1504848643915609,-0.15039322817820577,0.25354837988839185,-0.15048486439156147,-0.16525061892953002,0.09900171736090031,-0.21481412578908504,-0.07579334246871643,0.10169279452738503,0.37975259460487537,-0.10258036593122674,-0.09678096701670902,-0.09684760306723637,0.28102400086159446,-0.09678096701670989,-0.10379956905295039,0.1637274774953986
red_SDSD,0.793156517181584,0.39484980737805614,0.023206515499890407,0.10104793238165333,0.979177311681291,1.0,0.9999991400773429,-0.7614675673180703,0.999999999999999,0.9647097956317061,0.12300380026320587,0.5314460868807596,0.06391231862209039,0.05906532428871954,0.43886493186765785,0.7124516401000802,0.7101440518214993,0.7101435814680714,-0.5218680416832978,0.7101440518215001,0.7091929333722577,0.07939016969311215,-0.2766421290027312,0.015546650670520303,0.047639096270883904,0.3503941077225732,-0.12890754180974537,-0.12321147241062358,-0.12310877454256197,0.2952030966345681,-0.12321147241062348,-0.13006087582263093,0.055741677750703815,-0.2754853405686589,-0.10404287787564287,0.06373952946228012,0.2978898066042562,-0.16392075997445382,-0.155310588223481,-0.15521268677044417,0.26713259649676974,-0.1553105882234815,-0.16540084688204376,0.07158525134944914,-0.20988680032021134,-0.07256401875727375,0.1144758083269938,0.37078213224464956,-0.10144117126331921,-0.09611447972809722,-0.09617967033337808,0.2820771821085059,-0.0961144797280981,-0.1025238025590121,0.15632909458479896
red_RMSSD,0.7925113744484223,0.3941527339504716,0.02331696145074683,0.10200968088482987,0.9791357746756085,0.9999991400773429,1.0,-0.7608907727124029,0.9999991400773409,0.9646556755782332,0.12324020056177262,0.5312108404354484,0.06353559296735219,0.05916003852129957,0.43924510358786173,0.7124524053937767,0.7101349151910814,0.7101347373630043,-0.521614774120281,0.7101349151910832,0.709196875685429,0.07933645127620997,-0.2766694800542507,0.01564094308651409,0.04757319808984725,0.35038391481399594,-0.12893136948618947,-0.12322751497741903,-0.12312469668618414,0.2952278769133935,-0.12322751497741892,-0.13008679906225656,0.05575855143422123,-0.27539815131097023,-0.10398445565545257,0.06371588084086406,0.29773183334401915,-0.16392903325596891,-0.1553202537293571,-0.15522236630672626,0.2670302658692783,-0.15532025372935798,-0.1654086192746679,0.07152917282772506,-0.20991046385748574,-0.07257114120463244,0.11447299827330776,0.37081340896497333,-0.1014544434825297,-0.0961247151822487,-0.09618978968769096,0.28209906069102675,-0.09612471518224941,-0.1025376166404841,0.15632033700692777
red_NN_Count,-0.9859222812944629,-0.8181546599747913,0.0599059206030512,0.46856347675982873,-0.7670025448127409,-0.7614675673180703,-0.7608907727124029,1.0,-0.7614675673180693,-0.7623569755200534,-0.0007289889733672871,-0.6636256055580663,-0.42116498005166964,0.0019458888152570253,-0.0644347171027271,-0.5778410043800606,-0.5821939475094258,-0.5819404077088137,0.6753165832632995,-0.582193947509425,-0.5729868452990765,-0.11315801379387011,0.2540376447095688,0.02025032404969449,-0.07338268816811026,-0.35161298815159586,0.09995104217090427,0.09957258380345566,0.09950166215065656,-0.2603821850341566,0.09957258380345582,0.09971573224393174,-0.026545329992703565,0.36576441814899174,0.17421223077565992,-0.09696100497750657,-0.43901828990866565,0.17071639463701113,0.17165822354809376,0.1715518247750836,-0.3609534212186757,0.17165822354809415,0.16959286621826547,-0.029074095492802262,0.1949420209252584,0.09046172295777401,-0.07742481854369934,-0.33962005362827336,0.09386767655483863,0.09414044613877448,0.09424572132222535,-0.2486987679865337,0.09414044613877517,0.09363305336746969,-0.06465525633004193
red_SD1,0.7931565171815845,0.3948498073780563,0.023206515499890248,0.1010479323816534,0.9791773116812891,0.999999999999999,0.9999991400773409,-0.7614675673180693,1.0,0.9647097956317066,0.12300380026320575,0.53144608688076,0.06391231862209065,0.05906532428871949,0.43886493186765585,0.7124516401000777,0.7101440518214996,0.7101435814680722,-0.5218680416832973,0.7101440518214982,0.709192933372258,0.07939016969311252,-0.27664212900273166,0.015546650670520369,0.04763909627088409,0.3503941077225734,-0.12890754180974562,-0.12321147241062362,-0.12310877454256268,0.29520309663456845,-0.12321147241062376,-0.13006087582263118,0.05574167775070403,-0.27548534056865914,-0.1040428778756429,0.06373952946228022,0.2978898066042559,-0.16392075997445407,-0.15531058822348107,-0.15521268677044456,0.26713259649677035,-0.1553105882234819,-0.1654008468820438,0.07158525134944944,-0.2098868003202115,-0.07256401875727371,0.1144758083269941,0.37078213224464945,-0.10144117126331932,-0.09611447972809774,-0.09617967033337826,0.2820771821085062,-0.09611447972809821,-0.10252380255901258,0.15632909458479843
red_SD2,0.7948416357952215,0.37147770229573057,0.029388565384531152,0.1277260736387016,0.9980713338812163,0.9647097956317061,0.9646556755782332,-0.7623569755200534,0.9647097956317066,1.0,-0.1330809800016756,0.5528191460202656,0.05029190190890828,0.07212998293511942,0.4347585743180549,0.7334822331248183,0.7341282167448786,0.7341218830410463,-0.5405370750763531,0.7341282167448785,0.7290976024428261,0.10140796888908944,-0.26668425576894156,0.0012204723540167057,0.046310223860800595,0.34889314558719164,-0.11281393681364077,-0.10433051049484497,-0.10421654344054299,0.27370817390338187,-0.10433051049484475,-0.1148237132350849,0.07086422208806556,-0.26617648942751204,-0.09798115872556817,0.0582460063711421,0.28904141026063335,-0.16125477896457846,-0.14802316590389197,-0.14793463712875768,0.24754392402627207,-0.14802316590389264,-0.16402436365461667,0.10639662769863742,-0.21466996815995176,-0.07620520232025335,0.09716867280340041,0.37964656987155265,-0.10214639758530246,-0.09625929193058137,-0.09632637696745558,0.27871179698523274,-0.09625929193058212,-0.10339528941511548,0.16470378897488894
