,red_Mean_NN,red_Median_NN,red_Heart_Rate,red_Mean_HR,red_SDNN,red_SDSD,red_RMSSD,red_NN_Count,red_SD1,red_SD2,red_SD1_SD2,infrared_Mean_NN,infrared_Median_NN,infrared_Heart_Rate,infrared_Mean_HR,infrared_SDNN,infrared_SDSD,infrared_RMSSD,infrared_NN_Count,infrared_SD1,infrared_SD2,infrared_SD1_SD2,ppg0_Mean_NN,ppg0_Median_NN,ppg0_Heart_Rate,ppg0_Mean_HR,ppg0_SDNN,ppg0_SDSD,ppg0_RMSSD,ppg0_NN_Count,ppg0_SD1,ppg0_SD2,ppg0_SD1_SD2,ppg1_Mean_NN,ppg1_Median_NN,ppg1_Heart_Rate,ppg1_Mean_HR,ppg1_SDNN,ppg1_SDSD,ppg1_RMSSD,ppg1_NN_Count,ppg1_SD1,ppg1_SD2,ppg1_SD1_SD2,ppg2_Mean_NN,ppg2_Median_NN,ppg2_Heart_Rate,ppg2_Mean_HR,ppg2_SDNN,ppg2_SDSD,ppg2_RMSSD,ppg2_NN_Count,ppg2_SD1,ppg2_SD2,ppg2_SD1_SD2
red_Mean_NN,19093.828439668396,18011.275505836336,-303.5365819939424,-316.76024701759826,20350.258419293117,27841.584595973654,27654.32136979226,-1737.2094861138712,19686.9732667919,25166.609351539526,-0.046045422587915996,12515.725210350365,8576.982316084774,56.79766901054211,86.58534537030731,21211.599639484844,30493.94498968112,30307.265061375398,-1044.4314983956315,21562.475287333058,25825.555954312204,0.7641342251101554,-3507.315098337857,-25.674183529579143,223.02113308667532,157.08515067088942,-2960.67646093495,-3892.669675207859,-3870.827497478109,560.3581860519844,-2752.5331242587113,-3705.5534199643266,0.20190353391084162,-5076.5162374317015,-851.8649847010887,268.50162230948985,234.98864971145588,-4284.7357780359125,-5478.0921397400925,-5447.8615056417075,801.4109949045181,-3873.5960999749436,-5400.235023635433,0.3150035971603867,-4463.833226742143,-276.2532864373323,273.3876993514622,163.50231317441092,-5990.803628104798,-7176.842781595353,-7126.427510943219,613.4190833843221,-5074.794198375801,-7669.47752856875,0.5443749973387665
red_Median_NN,18011.275505836336,27421.968453407946,-612.3351226469374,-538.5619447574744,11576.204903231088,16610.005957113823,16482.567010388917,-1727.6180163258184,11745.047847824131,14095.473045625127,0.7728020221044416,13202.324183199433,16705.547793172704,-282.25065240724473,-219.57381836297836,13094.231703777614,18372.975683795386,18242.726847886453,-1134.8812838724834,12991.655696587268,16066.312458180135,0.16566213575824557,-3603.4614378162455,-54.01189049416401,220.98310410446263,139.71983484136047,-4255.778421987499,-5934.5246340123595,-5905.2830847384475,579.9936505097583,-4196.342611828757,-5232.53709712707,-0.2027330002234904,-6648.629356852927,-1250.4343076871342,433.4740876247414,297.70984917348983,-6108.692830921721,-8023.633889172252,-7981.411893175932,1100.023491236849,-5673.565932791887,-7642.4086183354775,0.1485052721697679,-4386.21403363635,-325.5679705997241,254.2092611279429,130.63947805386138,-7670.772911598695,-9389.787413108435,-9328.174545649163,571.0946195081656,-6639.582353709064,-9763.461538133,0.062093948236986225
red_Heart_Rate,-303.5365819939424,-612.3351226469374,1635.9564165241075,29.746873981168687,209.06480809090684,238.4428720435825,238.1599951257142,30.897163703638924,168.6045717476134,272.37161277884326,-0.037050592708619115,-102.02660713122116,-380.31335064909615,148.3726245664753,15.520288946278054,336.25960618911955,409.02136413672474,407.5881173304518,8.632378304212079,289.2217802312499,432.39468856049575,-0.0915358252047737,19.574631667138895,-9.724952324923752,18.588098735860697,2.172028649860078,210.5956732902679,260.4157299845336,259.22736048408575,-0.04030968642473142,184.1417285997087,268.4658826634044,-0.017517627907411244,32.153038025077784,-22.878537080606257,23.26866461037868,-0.8288871124249645,81.5506934494081,61.71491848345003,61.12642516383659,-7.760836086667814,43.63903736002239,113.57777765003021,-0.02124383363663206,56.835776424380306,-0.6738399898962404,-6.689769198993556,3.8629854239950436,541.7663044962453,592.2686560426334,589.937309976502,0.602915321937994,418.7971829719891,705.976011564168,0.020533669931329962
red_Mean_HR,-316.76024701759826,-538.5619447574744,29.746873981168687,25.69644405278912,114.23894994647056,130.1225273974954,130.58367796054478,30.2878154526768,92.01052150790137,148.35892151345487,-0.023392544505637068,-91.14936442646597,-355.2988339920284,15.868383188627048,15.458270915869397,251.89704115744462,330.9584686830634,329.592348164855,8.982068163122568,234.0229774969099,315.5829243585935,-0.023674179968137903,-21.995881891158838,0.17271256354276246,-4.066689199244591,0.34908321333525927,-33.90579370866021,-31.537050538938335,-31.25956591062148,3.833218420328824,-22.30006229470611,-45.80155195645314,0.009093048722426592,48.496703532134795,17.294123456640854,-1.307626541436101,-3.3199139298719254,-11.0069717139109,6.164700914326068,6.126108984742224,-8.729993302527769,4.359101820506828,-19.170244404715927,0.018148292156605444,-30.32237324736776,2.797606555568748,2.241806817130191,1.1164007814578834,-39.03629045865311,-27.96803895260541,-27.58343889589106,5.149637385353143,-19.776389999876777,-54.693745415368966,0.021097421970986418
red_SDNN,20350.258419293117,11576.204903231088,209.06480809090684,114.23894994647056,33932.4421167529,45820.24897663833,45547.17760319027,-1801.637305516177,32399.80876703692,42127.60133934546,-0.6477891622315123,14266.78746382023,1653.6037150491577,552.8723647516352,508.22096789488097,34909.24706655263,49877.631473601985,49590.959374783,-1154.0354778115807,35268.81144450753,42596.1450140371,0.906727511711389,-4996.384986973568,6.431596244070037,189.737601462722,213.5829573676623,-4348.292538112954,-5390.029669877166,-5357.188993942598,801.2522162000529,-3811.32653036683,-5529.143895563424,0.5825319615829624,-5251.838576418544,-716.6525367549715,242.2836706260407,222.33828321143199,-5473.869299887863,-6548.688784121551,-6512.334540564944,789.4989544625386,-4630.622247132635,-7017.550945824165,0.8565251726906743,-6597.954719926243,-333.71778708436244,427.9658654195933,248.36547223522635,-8447.653591139391,-9588.403300402222,-9514.429512327592,916.2999112292517,-6780.024994465883,-10951.32503345037,1.3980644630839485
red_SDSD,27841.584595973654,16610.005957113823,238.4428720435825,130.1225273974954,45820.24897663833,64532.291747614545,64150.36978502927,-2466.6240256756023,45631.22110024692,56154.27493272856,1.498643819234783,18963.495637679745,2701.463072948896,647.3292443443967,701.913644933542,46788.80598141032,66641.56402331345,66258.98893228864,-1538.9909420640543,47122.70182976241,57152.83680523407,1.0272349028914627,-7042.207122040027,30.28958401791509,266.44036236581604,293.67640726817126,-6596.625197947437,-8380.464379316269,-8331.02728495074,1163.541789166075,-5925.883192106845,-8333.245553416722,0.660684849301019,-7389.953884638556,-1027.4737964158685,355.98538381241235,311.8135596089387,-7602.846805948866,-9320.593788406815,-9268.652999270347,1147.0928972066329,-6590.655072467667,-9686.373120858087,0.8540866682136748,-8890.222022187121,-440.6062040466447,664.3755688593526,334.4184685408526,-11520.387665849497,-13131.856878360102,-13030.411962618273,1268.3618604714381,-9285.625048259635,-14916.839259584067,1.8408840049618964
red_RMSSD,27654.32136979226,16482.567010388917,238.1599951257142,130.58367796054478,45547.17760319027,64150.36978502927,63770.817830051514,-2450.1705379934915,45361.16149061879,55818.85305087498,1.492638856301816,18842.935460860484,2669.6479779117626,644.5305867112648,698.3645465830476,46511.985386566426,66246.3633768083,65866.08418052518,-1529.1415682341421,46843.25277268931,56814.953409576076,1.0204653354229507,-7001.2273217988795,30.292969918261885,264.49733354332994,291.9300985077587,-6558.8021045195455,-8331.958084907557,-8282.799931893838,1156.7536788104044,-5891.584062400213,-8285.585087435229,0.656974091672022,-7343.89914990079,-1020.8202349485227,353.7475610346549,309.804038909692,-7558.238772238318,-9266.01623328999,-9214.380782563187,1139.8682117324415,-6552.062913143982,-9629.506945268231,0.8483675345669972,-8838.610942465539,-438.0419289179544,660.4279456948343,332.4676053935759,-11453.714683413986,-13055.53990026191,-12954.667969761149,1260.9541839220617,-9231.660795526735,-14830.567570542991,1.8298881441986696
red_NN_Count,-1737.2094861138712,-1727.6180163258184,30.897163703638924,30.2878154526768,-1801.637305516177,-2466.6240256756023,-2450.1705379934915,162.60204572539905,-1744.1665751928788,-2227.5064608528983,-0.0004458361863091952,-1188.6576108404497,-893.5959110635694,1.0704961629258414,-5.1730561231302445,-1904.887741127833,-2742.4635989833178,-2725.5340421792393,99.96713240186293,-1939.2146079983686,-2317.8882929863053,-0.07349584902177884,324.6108350424005,1.9804455405202297,-20.601772006336056,-14.792842436534867,256.74693498290355,339.9626234862978,337.9981650100302,-51.51655370577525,240.38987641713047,320.70493740251294,-0.015793445947421797,492.5146436619838,86.35977430380545,-27.182843223004827,-23.067282092126757,397.45866499811376,517.1083951046197,514.2321280290857,-77.80317606545148,365.6508527869693,498.5463071147578,-0.017412417009352598,414.4836488296171,27.57202062063106,-22.55561065805669,-15.375853791760525,535.1103671533828,645.636436502434,640.9305359803493,-56.13365357197691,456.53390243198896,683.8419652418489,-0.038217731754197896
red_SD1,19686.9732667919,11745.047847824131,168.6045717476134,92.01052150790137,32399.80876703692,45631.22110024692,45361.16149061879,-1744.1665751928788,32266.14587380726,39707.0685975461,1.0597012071642216,13409.216360404856,1910.2228580072149,457.7308983362864,496.32789813987404,33084.68199307691,47122.701829762416,46852.18038858569,-1088.2309313181654,33320.78201165673,40413.15846902913,0.7263647657060581,-4979.592410514701,21.417970258387427,188.4017870106695,207.6605790538262,-4664.5184104146865,-5925.883192106847,-5890.925887438821,822.7482893132601,-4190.232189658134,-5892.494440113606,0.46717473716796243,-5225.486504483792,-726.5336889371473,251.71967889705255,220.48548246539627,-5376.024532808927,-6590.655072467668,-6553.9273882490925,811.1171662657338,-4660.296894203406,-6849.300118861856,0.6039304748149142,-6286.336278142493,-311.555634714246,469.78446999511834,236.469566859257,-8146.144240420039,-9285.625048259639,-9213.892660421689,896.8672725377401,-6565.9284391800475,-10547.79819432161,1.3017015632864064
red_SD2,25166.609351539526,14095.473045625127,272.37161277884326,148.35892151345487,42127.60133934546,56154.27493272856,55818.85305087498,-2227.5064608528983,39707.0685975461,52504.337471213454,-1.4625305106296,17793.0871230414,1917.4390553793617,713.045939866227,627.2057175590211,43449.54345456826,62141.207953738565,61783.97632797129,-1437.8377969209917,43940.469535211945,52999.0529674974,1.1835433465469187,-6123.46020832417,2.1448328970212356,233.6266754136727,263.76292392098475,-5207.332203671329,-6400.845084968055,-6361.437437836891,973.100938008226,-4526.080964905494,-6636.0269230503545,0.757618171308498,-6440.535443847666,-872.7905123281745,293.42594656031446,272.90310013555063,-6746.273162923563,-8012.743711775473,-7968.348582122984,958.8110339956354,-5665.865414506306,-8664.447485855808,1.1450258692436726,-8201.774396717865,-417.3716522806952,508.66897865414063,308.85880267341855,-10463.691826322616,-11862.849786143743,-11771.42758131749,1130.4194369309066,-8388.301527979625,-13569.439360064578,1.749440792164699
