host_timestamp_ns,red,infrared,ppg0,ppg1,ppg2,label
1783419167961510601,125190,52641,205699,164505,187497,base
1783419167961510602,125162,52621,205699,164505,187497,base
1783419167961510603,125162,52660,205699,164505,187497,base
1783419167961510604,125190,52650,205699,164505,187497,base
1783419168003874647,125190,52679,205651,164489,187443,base
1783419168003874648,125217,52660,205651,164489,187443,base
1783419168003874649,125217,52679,205651,164489,187443,base
1783419168003874650,125217,52650,205651,164489,187443,base
1783419168003874651,125244,52650,205651,164489,187443,base
1783419168003874652,125244,52660,205651,164489,187443,base
1783419168003874653,125217,52670,205651,164489,187443,base
1783419168003874654,125190,52650,205651,164489,187443,base
1783419168003874655,125190,52650,205651,164489,187443,base
1783419168003874656,125190,52650,205651,164489,187443,base
1783419168003874657,125190,52641,205651,164489,187443,base
1783419168003874658,125162,52631,205651,164489,187443,base
1783419168003874659,125190,52641,205651,164489,187443,base
1783419168003874660,125190,52621,205651,164489,187443,base
1783419168003874661,125190,52621,205651,164489,187443,base
1783419168003874662,125135,52602,205651,164489,187443,base
1783419168003874663,125135,52602,205651,164489,187443,base
1783419168003874664,125135,52583,205651,164489,187443,base
1783419168050622819,125108,52573,205467,164404,187293,base
1783419168050622820,125108,52564,205467,164404,187293,base
1783419168050622821,125081,52564,205467,164404,187293,base
1783419168050622822,125081,52573,205467,164404,187293,base
1783419168050622823,125081,52554,205467,164404,187293,base
1783419168050622824,125054,52535,205467,164404,187293,base
1783419168050622825,125081,52535,205467,164404,187293,base
1783419168050622826,125054,52535,205467,164404,187293,base
1783419168050622827,125081,52525,205467,164404,187293,base
1783419168050622828,125000,52535,205467,164404,187293,base
1783419168050622829,125054,52506,205467,164404,187293,base
1783419168050622830,125054,52497,205467,164404,187293,base
1783419168050622831,125000,52497,205467,164404,187293,base
1783419168050622832,125000,52497,205467,164404,187293,base
1783419168050622833,125027,52487,205467,164404,187293,base
1783419168050622834,124972,52487,205467,164404,187293,base
1783419168050622835,124972,52468,205467,164404,187293,base
1783419168085988878,124945,52468,205354,164187,187107,base
1783419168085988879,124972,52487,205354,164187,187107,base
1783419168085988880,124972,52468,205354,164187,187107,base
1783419168085988881,124945,52478,205354,164187,187107,base
1783419168085988882,124945,52468,205354,164187,187107,base
1783419168085988883,124945,52478,205354,164187,187107,base
1783419168085988884,124945,52439,205354,164187,187107,base
1783419168085988885,124891,52459,205354,164187,187107,base
1783419168085988886,124891,52459,205354,164187,187107,base
1783419168085988887,124945,52449,205354,164187,187107,base
1783419168085988888,124891,52459,205354,164187,187107,base
1783419168085988889,124918,52459,205354,164187,187107,base
1783419168085988890,124945,52420,205354,164187,187107,base
1783419168085988891,124891,52459,205354,164187,187107,base
1783419168085988892,124918,52459,205354,164187,187107,base
1783419168129534244,124918,52439,205309,164215,187073,base
1783419168129534245,124945,52478,205309,164215,187073,base
1783419168129534246,124864,52468,205309,164215,187073,base
1783419168129534247,124918,52478,205309,164215,187073,base
1783419168129534248,124918,52459,205309,164215,187073,base
1783419168129534249,124918,52478,205309,164215,187073,base
1783419168129534250,124945,52468,205309,164215,187073,base
1783419168129534251,124945,52439,205309,164215,187073,base
1783419168129534252,124891,52478,205309,164215,187073,base
1783419168129534253,124918,52468,205309,164215,187073,base
1783419168129534254,124918,52478,205309,164215,187073,base
1783419168129534255,124945,52478,205309,164215,187073,base
1783419168129534256,124945,52468,205309,164215,187073,base
1783419168129534257,124945,52449,205309,164215,187073,base
1783419168129534258,124945,52478,205309,164215,187073,base
1783419168129534259,124918,52459,205309,164215,187073,base
1783419168129534260,124918,52459,205309,164215,187073,base
1783419168171052584,124972,52459,205282,164153,187017,base
1783419168171052585,124918,52478,205282,164153,187017,base
1783419168171052586,124945,52449,205282,164153,187017,base
1783419168171052587,124945,52420,205282,164153,187017,base
1783419168171052588,124918,52449,205282,164153,187017,base
1783419168171052589,124918,52449,205282,164153,187017,base
1783419168171052590,124945,52449,205282,164153,187017,base
1783419168171052591,124972,52430,205282,164153,187017,base
1783419168171052592,124945,52439,205282,164153,187017,base
1783419168171052593,124891,52439,205282,164153,187017,base
1783419168171052594,124891,52439,205282,164153,187017,base
1783419168171052595,124945,52439,205282,164153,187017,base
1783419168171052596,124945,52401,205282,164153,187017,base
1783419168171052597,124918,52430,205282,164153,187017,base
1783419168171052598,124918,52420,205282,164153,187017,base
1783419168171052599,124891,52411,205282,164153,187017,base
1783419168171052600,124945,52411,205282,164153,187017,base
1783419168214259670,124891,52420,205292,164227,187040,base
1783419168214259671,124891,52401,205292,164227,187040,base
1783419168214259672,124891,52411,205292,164227,187040,base
1783419168214259673,124918,52411,205292,164227,187040,base
1783419168214259674,124891,52420,205292,164227,187040,base
1783419168214259675,124945,52430,205292,164227,187040,base
1783419168214259676,124918,52411,205292,164227,187040,base
1783419168214259677,124864,52401,205292,164227,187040,base
1783419168214259678,124945,52430,205292,164227,187040,base
1783419168214259679,124891,52420,205292,164227,187040,base
1783419168214259680,124891,52382,205292,164227,187040,base
1783419168214259681,124918,52430,205292,164227,187040,base
1783419168214259682,124891,52411,205292,164227,187040,base
1783419168214259683,124918,52430,205292,164227,187040,base
1783419168214259684,124891,52439,205292,164227,187040,base
1783419168214259685,124918,52439,205292,164227,187040,base
1783419168214259686,124918,52449,205292,164227,187040,base
1783419168255917630,124918,52449,205246,164177,186991,base
1783419168255917631,124945,52449,205246,164177,186991,base
1783419168255917632,124972,52478,205246,164177,186991,base
1783419168255917633,124972,52459,205246,164177,186991,base
1783419168255917634,124918,52439,205246,164177,186991,base
1783419168255917635,124972,52459,205246,164177,186991,base
1783419168255917636,124945,52487,205246,164177,186991,base
1783419168255917637,125000,52459,205246,164177,186991,base
1783419168255917638,124945,52487,205246,164177,186991,base
1783419168255917639,124972,52487,205246,164177,186991,base
1783419168255917640,125000,52497,205246,164177,186991,base
1783419168255917641,125000,52497,205246,164177,186991,base
1783419168255917642,125054,52506,205246,164177,186991,base
1783419168255917643,125000,52506,205246,164177,186991,base
1783419168255917644,125054,52516,205246,164177,186991,base
1783419168255917645,125054,52535,205246,164177,186991,base
1783419168255917646,125054,52516,205246,164177,186991,base
1783419168293589108,125081,52535,205267,164192,187067,base
1783419168293589109,125081,52525,205267,164192,187067,base
1783419168293589110,125081,52535,205267,164192,187067,base
1783419168293589111,125135,52602,205267,164192,187067,base
1783419168293589112,125108,52564,205267,164192,187067,base
1783419168293589113,125108,52564,205267,164192,187067,base
1783419168293589114,125135,52583,205267,164192,187067,base
1783419168293589115,125135,52593,205267,164192,187067,base
1783419168293589116,125162,52583,205267,164192,187067,base
1783419168293589117,125244,52621,205267,164192,187067,base
1783419168293589118,125217,52631,205267,164192,187067,base
1783419168293589119,125217,52621,205267,164192,187067,base
1783419168293589120,125217,52631,205267,164192,187067,base
1783419168293589121,125244,52650,205267,164192,187067,base
1783419168293589122,125244,52670,205267,164192,187067,base
1783419168293589123,125271,52670,205267,164192,187067,base
1783419168343477500,125244,52670,205341,164152,186971,base
1783419168343477501,125244,52660,205341,164152,186971,base
1783419168343477502,125326,52708,205341,164152,186971,base
1783419168343477503,125299,52698,205341,164152,186971,base
1783419168343477504,125353,52689,205341,164152,186971,base
1783419168343477505,125353,52708,205341,164152,186971,base
1783419168343477506,125380,52718,205341,164152,186971,base
1783419168343477507,125353,52718,205341,164152,186971,base
1783419168343477508,125353,52727,205341,164152,186971,base
1783419168343477509,125353,52747,205341,164152,186971,base
1783419168343477510,125326,52727,205341,164152,186971,base
1783419168343477511,125299,52737,205341,164152,186971,base
1783419168343477512,125353,52776,205341,164152,186971,base
1783419168343477513,125353,52756,205341,164152,186971,base
1783419168343477514,125380,52776,205341,164152,186971,base
1783419168343477515,125353,52776,205341,164152,186971,base
1783419168343477516,125380,52776,205341,164152,186971,base
1783419168379562283,125380,52795,205343,164159,187007,base
1783419168379562284,125353,52795,205343,164159,187007,base
1783419168379562285,125408,52805,205343,164159,187007,base
1783419168379562286,125435,52814,205343,164159,187007,base
1783419168379562287,125408,52814,205343,164159,187007,base
1783419168379562288,125462,52824,205343,164159,187007,base
1783419168379562289,125490,52853,205343,164159,187007,base
1783419168379562290,125435,52863,205343,164159,187007,base
1783419168379562291,125462,52863,205343,164159,187007,base
1783419168379562292,125462,52863,205343,164159,187007,base
1783419168379562293,125490,52863,205343,164159,187007,base
1783419168379562294,125462,52892,205343,164159,187007,base
1783419168379562295,125490,52892,205343,164159,187007,base
1783419168379562296,125490,52902,205343,164159,187007,base
1783419168379562297,125517,52931,205343,164159,187007,base
1783419168420590910,125572,52931,205341,164143,187027,base
1783419168420590911,125572,52911,205341,164143,187027,base
1783419168420590912,125544,52950,205341,164143,187027,base
1783419168420590913,125572,52970,205341,164143,187027,base
1783419168420590914,125599,52980,205341,164143,187027,base
1783419168420590915,125627,52980,205341,164143,187027,base
1783419168420590916,125627,52980,205341,164143,187027,base
1783419168420590917,125654,52989,205341,164143,187027,base
1783419168420590918,125654,52999,205341,164143,187027,base
1783419168420590919,125627,53019,205341,164143,187027,base
1783419168420590920,125681,53038,205341,164143,187027,base
1783419168420590921,125681,53048,205341,164143,187027,base
1783419168420590922,125681,53048,205341,164143,187027,base
1783419168420590923,125681,53048,205341,164143,187027,base
1783419168420590924,125764,53087,205341,164143,187027,base
1783419168420590925,125709,53087,205341,164143,187027,base
1783419168420590926,125764,53087,205341,164143,187027,base
1783419168461649476,125764,53097,205402,164188,187049,base
1783419168461649477,125791,53126,205402,164188,187049,base
1783419168461649478,125791,53116,205402,164188,187049,base
1783419168461649479,125846,53146,205402,164188,187049,base
1783419168461649480,125819,53156,205402,164188,187049,base
1783419168461649481,125846,53165,205402,164188,187049,base
1783419168461649482,125846,53146,205402,164188,187049,base
1783419168461649483,125846,53185,205402,164188,187049,base
1783419168461649484,125874,53195,205402,164188,187049,base
1783419168461649485,125874,53185,205402,164188,187049,base
1783419168461649486,125929,53215,205402,164188,187049,base
1783419168461649487,125901,53205,205402,164188,187049,base
1783419168461649488,125984,53224,205402,164188,187049,base
1783419168461649489,125956,53234,205402,164188,187049,base
1783419168461649490,125956,53234,205402,164188,187049,base
1783419168461649491,126011,53244,205402,164188,187049,base
1783419168461649492,125984,53264,205402,164188,187049,base
1783419168501378985,126011,53274,205461,164177,187152,base
1783419168501378986,126039,53264,205461,164177,187152,base
1783419168501378987,126011,53303,205461,164177,187152,base
1783419168501378988,125984,53313,205461,164177,187152,base
1783419168501378989,126039,53283,205461,164177,187152,base
1783419168501378990,126066,53303,205461,164177,187152,base
1783419168501378991,126094,53333,205461,164177,187152,base
1783419168501378992,126094,53333,205461,164177,187152,base
1783419168501378993,126094,53343,205461,164177,187152,base
