host_timestamp_ns,red,infrared,ppg0,ppg1,ppg2,label
1783335656974828802,116740,69649,162762,122736,125219,truth
1783335656974828803,116740,69632,162762,122736,125219,truth
1783335656974828804,116717,69632,162762,122736,125219,truth
1783335656974828805,116717,69666,162762,122736,125219,truth
1783335656974828806,116764,69649,162762,122736,125219,truth
1783335656974828807,116764,69649,162762,122736,125219,truth
1783335656974828808,116717,69632,162762,122736,125219,truth
1783335656974828809,116764,69666,162762,122736,125219,truth
1783335656974828810,116812,69649,162762,122736,125219,truth
1783335656974828811,116788,69683,162762,122736,125219,truth
1783335656974828812,116788,69683,162762,122736,125219,truth
1783335656974828813,116764,69649,162762,122736,125219,truth
1783335656974828814,116812,69683,162762,122736,125219,truth
1783335656974828815,116812,69733,162762,122736,125219,truth
1783335656974828816,116812,69716,162762,122736,125219,truth
1783335656974828817,116764,69683,162762,122736,125219,truth
1783335656974828818,116788,69683,162762,122736,125219,truth
1783335657021810073,116788,69716,162704,122738,125249,truth
1783335657021810074,116835,69699,162704,122738,125249,truth
1783335657021810075,116788,69716,162704,122738,125249,truth
1783335657021810076,116812,69716,162704,122738,125249,truth
1783335657021810077,116812,69666,162704,122738,125249,truth
1783335657021810078,116859,69699,162704,122738,125249,truth
1783335657021810079,116788,69716,162704,122738,125249,truth
1783335657021810080,116788,69716,162704,122738,125249,truth
1783335657021810081,116812,69716,162704,122738,125249,truth
1783335657021810082,116859,69733,162704,122738,125249,truth
1783335657021810083,116835,69767,162704,122738,125249,truth
1783335657021810084,116835,69699,162704,122738,125249,truth
1783335657021810085,116835,69750,162704,122738,125249,truth
1783335657021810086,116859,69767,162704,122738,125249,truth
1783335657021810087,116859,69784,162704,122738,125249,truth
1783335657021810088,116859,69750,162704,122738,125249,truth
1783335657021810089,116835,69767,162704,122738,125249,truth
1783335657056839079,116835,69767,162623,122705,125231,truth
1783335657056839080,116906,69750,162623,122705,125231,truth
1783335657056839081,116883,69750,162623,122705,125231,truth
1783335657056839082,116859,69767,162623,122705,125231,truth
1783335657056839083,116883,69750,162623,122705,125231,truth
1783335657056839084,116883,69818,162623,122705,125231,truth
1783335657056839085,116859,69801,162623,122705,125231,truth
1783335657056839086,116883,69784,162623,122705,125231,truth
1783335657056839087,116859,69784,162623,122705,125231,truth
1783335657056839088,116906,69784,162623,122705,125231,truth
1783335657056839089,116906,69784,162623,122705,125231,truth
1783335657056839090,116883,69767,162623,122705,125231,truth
1783335657056839091,116906,69784,162623,122705,125231,truth
1783335657056839092,116906,69801,162623,122705,125231,truth
1783335657056839093,116954,69784,162623,122705,125231,truth
1783335657097919346,116930,69801,162582,122603,125132,truth
1783335657097919347,116930,69801,162582,122603,125132,truth
1783335657097919348,116954,69784,162582,122603,125132,truth
1783335657097919349,116954,69784,162582,122603,125132,truth
1783335657097919350,116930,69818,162582,122603,125132,truth
1783335657097919351,116930,69784,162582,122603,125132,truth
1783335657097919352,116954,69801,162582,122603,125132,truth
1783335657097919353,116954,69784,162582,122603,125132,truth
1783335657097919354,116954,69818,162582,122603,125132,truth
1783335657097919355,117001,69801,162582,122603,125132,truth
1783335657097919356,116954,69801,162582,122603,125132,truth
1783335657097919357,116954,69852,162582,122603,125132,truth
1783335657097919358,116978,69835,162582,122603,125132,truth
1783335657097919359,116978,69801,162582,122603,125132,truth
1783335657097919360,116978,69835,162582,122603,125132,truth
1783335657097919361,117001,69818,162582,122603,125132,truth
1783335657097919362,116978,69852,162582,122603,125132,truth
1783335657139364583,117001,69818,162584,122539,125160,truth
1783335657139364584,117001,69835,162584,122539,125160,truth
1783335657139364585,117001,69818,162584,122539,125160,truth
1783335657139364586,117025,69868,162584,122539,125160,truth
1783335657139364587,117001,69835,162584,122539,125160,truth
1783335657139364588,117025,69868,162584,122539,125160,truth
1783335657139364589,116978,69801,162584,122539,125160,truth
1783335657139364590,117001,69818,162584,122539,125160,truth
1783335657139364591,117001,69868,162584,122539,125160,truth
1783335657139364592,117025,69835,162584,122539,125160,truth
1783335657139364593,117001,69818,162584,122539,125160,truth
1783335657139364594,116954,69852,162584,122539,125160,truth
1783335657139364595,116978,69784,162584,122539,125160,truth
1783335657139364596,116978,69835,162584,122539,125160,truth
1783335657139364597,116978,69835,162584,122539,125160,truth
1783335657139364598,116954,69818,162584,122539,125160,truth
1783335657139364599,116978,69852,162584,122539,125160,truth
1783335657181750398,116978,69818,162668,122443,125109,truth
1783335657181750399,116883,69801,162668,122443,125109,truth
1783335657181750400,116930,69818,162668,122443,125109,truth
1783335657181750401,116906,69801,162668,122443,125109,truth
1783335657181750402,116906,69767,162668,122443,125109,truth
1783335657181750403,116859,69835,162668,122443,125109,truth
1783335657181750404,116906,69835,162668,122443,125109,truth
1783335657181750405,116930,69818,162668,122443,125109,truth
1783335657181750406,116930,69818,162668,122443,125109,truth
1783335657181750407,116906,69818,162668,122443,125109,truth
1783335657181750408,116930,69835,162668,122443,125109,truth
1783335657181750409,116906,69852,162668,122443,125109,truth
1783335657181750410,116906,69835,162668,122443,125109,truth
1783335657181750411,116906,69835,162668,122443,125109,truth
1783335657181750412,116906,69852,162668,122443,125109,truth
1783335657181750413,116930,69835,162668,122443,125109,truth
1783335657181750414,116930,69868,162668,122443,125109,truth
1783335657224448299,116930,69852,162645,122374,124937,truth
1783335657224448300,116954,69868,162645,122374,124937,truth
1783335657224448301,116906,69868,162645,122374,124937,truth
1783335657224448302,117001,69902,162645,122374,124937,truth
1783335657224448303,117001,69852,162645,122374,124937,truth
1783335657224448304,116954,69885,162645,122374,124937,truth
1783335657224448305,116978,69885,162645,122374,124937,truth
1783335657224448306,116978,69919,162645,122374,124937,truth
1783335657224448307,116978,69902,162645,122374,124937,truth
1783335657224448308,117001,69936,162645,122374,124937,truth
1783335657224448309,116978,69919,162645,122374,124937,truth
1783335657224448310,116954,69885,162645,122374,124937,truth
1783335657224448311,117001,69919,162645,122374,124937,truth
1783335657224448312,116930,69919,162645,122374,124937,truth
1783335657224448313,117001,69953,162645,122374,124937,truth
1783335657224448314,116978,69970,162645,122374,124937,truth
1783335657224448315,116978,69902,162645,122374,124937,truth
1783335657265010375,117025,69970,162705,122282,124881,truth
1783335657265010376,117025,69987,162705,122282,124881,truth
1783335657265010377,116954,69953,162705,122282,124881,truth
1783335657265010378,117001,70021,162705,122282,124881,truth
1783335657265010379,117001,70021,162705,122282,124881,truth
1783335657265010380,116978,70004,162705,122282,124881,truth
1783335657265010381,117001,70004,162705,122282,124881,truth
1783335657265010382,117025,70021,162705,122282,124881,truth
1783335657265010383,117025,70072,162705,122282,124881,truth
1783335657265010384,117025,70055,162705,122282,124881,truth
1783335657265010385,117025,70072,162705,122282,124881,truth
1783335657265010386,117073,70072,162705,122282,124881,truth
1783335657265010387,117096,70090,162705,122282,124881,truth
1783335657265010388,117073,70090,162705,122282,124881,truth
1783335657265010389,117120,70141,162705,122282,124881,truth
1783335657265010390,117096,70141,162705,122282,124881,truth
1783335657307027139,117096,70141,162789,122336,124851,truth
1783335657307027140,117096,70158,162789,122336,124851,truth
1783335657307027141,117168,70175,162789,122336,124851,truth
1783335657307027142,117120,70192,162789,122336,124851,truth
1783335657307027143,117168,70192,162789,122336,124851,truth
1783335657307027144,117168,70243,162789,122336,124851,truth
1783335657307027145,117168,70226,162789,122336,124851,truth
1783335657307027146,117192,70243,162789,122336,124851,truth
1783335657307027147,117216,70261,162789,122336,124851,truth
1783335657307027148,117216,70278,162789,122336,124851,truth
1783335657307027149,117216,70295,162789,122336,124851,truth
1783335657307027150,117239,70295,162789,122336,124851,truth
1783335657307027151,117239,70295,162789,122336,124851,truth
1783335657307027152,117239,70295,162789,122336,124851,truth
1783335657307027153,117263,70295,162789,122336,124851,truth
1783335657307027154,117311,70295,162789,122336,124851,truth
1783335657307027155,117287,70312,162789,122336,124851,truth
1783335657349230837,117311,70312,162861,122442,124922,truth
1783335657349230838,117335,70329,162861,122442,124922,truth
1783335657349230839,117311,70346,162861,122442,124922,truth
1783335657349230840,117335,70329,162861,122442,124922,truth
1783335657349230841,117311,70346,162861,122442,124922,truth
1783335657349230842,117335,70364,162861,122442,124922,truth
1783335657349230843,117335,70346,162861,122442,124922,truth
1783335657349230844,117335,70295,162861,122442,124922,truth
1783335657349230845,117287,70278,162861,122442,124922,truth
1783335657349230846,117263,70226,162861,122442,124922,truth
1783335657349230847,117263,70226,162861,122442,124922,truth
1783335657349230848,117239,70192,162861,122442,124922,truth
1783335657349230849,117168,70124,162861,122442,124922,truth
1783335657349230850,117168,70055,162861,122442,124922,truth
1783335657349230851,117168,70038,162861,122442,124922,truth
1783335657349230852,117073,69970,162861,122442,124922,truth
1783335657349230853,117073,69936,162861,122442,124922,truth
1783335657391550780,117001,69868,163155,122555,125046,truth
1783335657391550781,116906,69868,163155,122555,125046,truth
1783335657391550782,116930,69784,163155,122555,125046,truth
1783335657391550783,116906,69716,163155,122555,125046,truth
1783335657391550784,116859,69632,163155,122555,125046,truth
1783335657391550785,116835,69598,163155,122555,125046,truth
1783335657391550786,116788,69565,163155,122555,125046,truth
1783335657391550787,116764,69498,163155,122555,125046,truth
1783335657391550788,116717,69447,163155,122555,125046,truth
