host_timestamp_ns,red,infrared,ppg0,ppg1,ppg2,label
1783334553985520861,117192,50641,168038,186252,144852,truth
1783334553985520862,117216,50659,168038,186252,144852,truth
1783334553985520863,117263,50668,168038,186252,144852,truth
1783334553985520864,117263,50686,168038,186252,144852,truth
1783334553985520865,117263,50677,168038,186252,144852,truth
1783334553985520866,117239,50668,168038,186252,144852,truth
1783334553985520867,117287,50695,168038,186252,144852,truth
1783334553985520868,117263,50677,168038,186252,144852,truth
1783334554028333774,117287,50722,168002,186359,144880,truth
1783334554028333775,117263,50704,168002,186359,144880,truth
1783334554028333776,117287,50713,168002,186359,144880,truth
1783334554028333777,117359,50731,168002,186359,144880,truth
1783334554028333778,117311,50748,168002,186359,144880,truth
1783334554028333779,117335,50731,168002,186359,144880,truth
1783334554028333780,117335,50731,168002,186359,144880,truth
1783334554028333781,117335,50739,168002,186359,144880,truth
1783334554028333782,117335,50739,168002,186359,144880,truth
1783334554028333783,117335,50766,168002,186359,144880,truth
1783334554028333784,117383,50748,168002,186359,144880,truth
1783334554028333785,117383,50766,168002,186359,144880,truth
1783334554028333786,117383,50748,168002,186359,144880,truth
1783334554028333787,117359,50766,168002,186359,144880,truth
1783334554028333788,117359,50793,168002,186359,144880,truth
1783334554028333789,117359,50793,168002,186359,144880,truth
1783334554028333790,117407,50784,168002,186359,144880,truth
1783334554070528405,117407,50802,168074,186367,144907,truth
1783334554070528406,117407,50811,168074,186367,144907,truth
1783334554070528407,117431,50793,168074,186367,144907,truth
1783334554070528408,117431,50802,168074,186367,144907,truth
1783334554070528409,117407,50811,168074,186367,144907,truth
1783334554070528410,117431,50847,168074,186367,144907,truth
1783334554070528411,117479,50820,168074,186367,144907,truth
1783334554070528412,117479,50829,168074,186367,144907,truth
1783334554070528413,117503,50829,168074,186367,144907,truth
1783334554070528414,117503,50847,168074,186367,144907,truth
1783334554070528415,117455,50847,168074,186367,144907,truth
1783334554070528416,117527,50874,168074,186367,144907,truth
1783334554070528417,117527,50901,168074,186367,144907,truth
1783334554070528418,117551,50874,168074,186367,144907,truth
1783334554070528419,117551,50901,168074,186367,144907,truth
1783334554070528420,117575,50901,168074,186367,144907,truth
1783334554070528421,117551,50910,168074,186367,144907,truth
1783334554110515050,117551,50928,167856,186140,144746,truth
1783334554110515051,117575,50946,167856,186140,144746,truth
1783334554110515052,117575,50955,167856,186140,144746,truth
1783334554110515053,117575,50955,167856,186140,144746,truth
1783334554110515054,117599,50955,167856,186140,144746,truth
1783334554110515055,117671,50991,167856,186140,144746,truth
1783334554110515056,117671,50982,167856,186140,144746,truth
1783334554110515057,117695,51000,167856,186140,144746,truth
1783334554110515058,117671,51036,167856,186140,144746,truth
1783334554110515059,117719,51027,167856,186140,144746,truth
1783334554110515060,117743,51054,167856,186140,144746,truth
1783334554110515061,117743,51054,167856,186140,144746,truth
1783334554110515062,117767,51081,167856,186140,144746,truth
1783334554110515063,117767,51081,167856,186140,144746,truth
1783334554110515064,117767,51072,167856,186140,144746,truth
1783334554110515065,117743,51063,167856,186140,144746,truth
1783334554152955602,117695,51072,167494,185820,144522,truth
1783334554152955603,117743,51072,167494,185820,144522,truth
1783334554152955604,117767,51100,167494,185820,144522,truth
1783334554152955605,117887,51127,167494,185820,144522,truth
1783334554152955606,117839,51145,167494,185820,144522,truth
1783334554152955607,117911,51181,167494,185820,144522,truth
1783334554152955608,117960,51172,167494,185820,144522,truth
1783334554152955609,117960,51190,167494,185820,144522,truth
1783334554152955610,117984,51218,167494,185820,144522,truth
1783334554152955611,117960,51200,167494,185820,144522,truth
1783334554152955612,117960,51190,167494,185820,144522,truth
1783334554152955613,117960,51190,167494,185820,144522,truth
1783334554152955614,117960,51227,167494,185820,144522,truth
1783334554152955615,117984,51227,167494,185820,144522,truth
1783334554152955616,117984,51254,167494,185820,144522,truth
1783334554152955617,118008,51263,167494,185820,144522,truth
1783334554152955618,118056,51282,167494,185820,144522,truth
1783334554195388724,118105,51291,167058,185465,144256,truth
1783334554195388725,118081,51282,167058,185465,144256,truth
1783334554195388726,118105,51291,167058,185465,144256,truth
1783334554195388727,118081,51309,167058,185465,144256,truth
1783334554195388728,118105,51309,167058,185465,144256,truth
1783334554195388729,118153,51336,167058,185465,144256,truth
1783334554195388730,118153,51327,167058,185465,144256,truth
1783334554195388731,118153,51346,167058,185465,144256,truth
1783334554195388732,118202,51364,167058,185465,144256,truth
1783334554195388733,118250,51382,167058,185465,144256,truth
1783334554195388734,118226,51401,167058,185465,144256,truth
1783334554195388735,118226,51373,167058,185465,144256,truth
1783334554195388736,118226,51391,167058,185465,144256,truth
1783334554195388737,118250,51410,167058,185465,144256,truth
1783334554195388738,118226,51410,167058,185465,144256,truth
1783334554195388739,118275,51428,167058,185465,144256,truth
1783334554195388740,118299,51446,167058,185465,144256,truth
1783334554237889754,118250,51446,166679,184987,143832,truth
1783334554237889755,118323,51446,166679,184987,143832,truth
1783334554237889756,118299,51446,166679,184987,143832,truth
1783334554237889757,118323,51465,166679,184987,143832,truth
1783334554237889758,118323,51483,166679,184987,143832,truth
1783334554237889759,118323,51465,166679,184987,143832,truth
1783334554237889760,118348,51483,166679,184987,143832,truth
1783334554237889761,118348,51483,166679,184987,143832,truth
1783334554237889762,118372,51492,166679,184987,143832,truth
1783334554237889763,118396,51529,166679,184987,143832,truth
1783334554237889764,118421,51511,166679,184987,143832,truth
1783334554237889765,118445,51539,166679,184987,143832,truth
1783334554237889766,118421,51548,166679,184987,143832,truth
1783334554237889767,118396,51548,166679,184987,143832,truth
