host_timestamp_ns,host_timestamp_iso,pmd_timestamp,ppg0,ppg1,ppg2,ambient
1783265555246505400,2026-07-05T22:32:35.246+07:00,540127130653470527,-322055,-298210,-356479,-472904
1783265555264687218,2026-07-05T22:32:35.264+07:00,540127130653470527,-322579,-298464,-356739,-472867
1783265555282869036,2026-07-05T22:32:35.282+07:00,540127130653470527,-323235,-298938,-357206,-472934
1783265555301050854,2026-07-05T22:32:35.301+07:00,540127130653470527,-324061,-299455,-357702,-472934
1783265555319232672,2026-07-05T22:32:35.319+07:00,540127130653470527,-324795,-300124,-358242,-472900
1783265555337414490,2026-07-05T22:32:35.337+07:00,540127130653470527,-325392,-300653,-358631,-472911
1783265555355596309,2026-07-05T22:32:35.355+07:00,540127130653470527,-325944,-301076,-358863,-472969
1783265555373778127,2026-07-05T22:32:35.373+07:00,540127130653470527,-326214,-301365,-359022,-472891
1783265555391959945,2026-07-05T22:32:35.391+07:00,540127130653470527,-326394,-301531,-359043,-472887
1783265555410141763,2026-07-05T22:32:35.410+07:00,540127130653470527,-326437,-301653,-359060,-472937
1783265555428323581,2026-07-05T22:32:35.428+07:00,540127130653470527,-326440,-301675,-358900,-472913
1783265555446505400,2026-07-05T22:32:35.446+07:00,540127130653470527,-326422,-301685,-358857,-472879
1783265555464687218,2026-07-05T22:32:35.464+07:00,540127130653470527,-326573,-301730,-358856,-472877
1783265555482869036,2026-07-05T22:32:35.482+07:00,540127130653470527,-326637,-301824,-358976,-472890
1783265555501050854,2026-07-05T22:32:35.501+07:00,540127130653470527,-326727,-301931,-359064,-472885
1783265555519232672,2026-07-05T22:32:35.519+07:00,540127130653470527,-326876,-302014,-359153,-472908
1783265555537414490,2026-07-05T22:32:35.537+07:00,540127130653470527,-326981,-302050,-359166,-472912
1783265555555596309,2026-07-05T22:32:35.555+07:00,540127130653470527,-327087,-302096,-359148,-472911
1783265555573778127,2026-07-05T22:32:35.573+07:00,540127130653470527,-327157,-302100,-359161,-472886
1783265555591959945,2026-07-05T22:32:35.591+07:00,540127130653470527,-327297,-302165,-359306,-472890
1783265555610141763,2026-07-05T22:32:35.610+07:00,540127130653470527,-327422,-302265,-359455,-472884
1783265555628323581,2026-07-05T22:32:35.628+07:00,540127130653470527,-327629,-302203,-359659,-472894
1783265555646505400,2026-07-05T22:32:35.646+07:00,540127130653470527,-327641,-302048,-359672,-472866
1783265555664687218,2026-07-05T22:32:35.664+07:00,540127130653470527,-327655,-301792,-359550,-472934
1783265555682869036,2026-07-05T22:32:35.682+07:00,540127130653470527,-327437,-301509,-359364,-472890
1783265555701050854,2026-07-05T22:32:35.701+07:00,540127130653470527,-327247,-301236,-359130,-472973
1783265555719232672,2026-07-05T22:32:35.719+07:00,540127130653470527,-327000,-300922,-358917,-472962
1783265555737414490,2026-07-05T22:32:35.737+07:00,540127130653470527,-326804,-300607,-358721,-472958
1783265555755596309,2026-07-05T22:32:35.755+07:00,540127130653470527,-326637,-300443,-358589,-472917
1783265555773778127,2026-07-05T22:32:35.773+07:00,540127130653470527,-326476,-300215,-358469,-472969
1783265555791959945,2026-07-05T22:32:35.791+07:00,540127130653470527,-326362,-300058,-358327,-472999
1783265555810141763,2026-07-05T22:32:35.810+07:00,540127130653470527,-326283,-299925,-358239,-473006
1783265555828323581,2026-07-05T22:32:35.828+07:00,540127130653470527,-326195,-299729,-358154,-472986
1783265555846505400,2026-07-05T22:32:35.846+07:00,540127130653470527,-326013,-299587,-358091,-472916
1783265555864687218,2026-07-05T22:32:35.864+07:00,540127130653470527,-325845,-299457,-357989,-472965
1783265555882869036,2026-07-05T22:32:35.882+07:00,540127130653470527,-325761,-299358,-357926,-472916
1783265555901050854,2026-07-05T22:32:35.901+07:00,540127130653470527,-325747,-299264,-357943,-472897
1783265556045084500,2026-07-05T22:32:36.045+07:00,540127131417658029,-325758,-299303,-357912,-472999
1783265556063266318,2026-07-05T22:32:36.063+07:00,540127131417658029,-325665,-299144,-357842,-473002
1783265556081448136,2026-07-05T22:32:36.081+07:00,540127131417658029,-325608,-299037,-357686,-473015
1783265556099629954,2026-07-05T22:32:36.099+07:00,540127131417658029,-325664,-298913,-357533,-472948
1783265556117811772,2026-07-05T22:32:36.117+07:00,540127131417658029,-325627,-298501,-357192,-472882
1783265556135993590,2026-07-05T22:32:36.135+07:00,540127131417658029,-325440,-298127,-356772,-472959
1783265556154175409,2026-07-05T22:32:36.154+07:00,540127131417658029,-325222,-297792,-356447,-472956
1783265556172357227,2026-07-05T22:32:36.172+07:00,540127131417658029,-324978,-297531,-356141,-473016
1783265556190539045,2026-07-05T22:32:36.190+07:00,540127131417658029,-324747,-297178,-355777,-472903
1783265556208720863,2026-07-05T22:32:36.208+07:00,540127131417658029,-324613,-296973,-355564,-472893
1783265556226902681,2026-07-05T22:32:36.226+07:00,540127131417658029,-324604,-296691,-355315,-472935
1783265556245084500,2026-07-05T22:32:36.245+07:00,540127131417658029,-324612,-296512,-355143,-472920
1783265556263266318,2026-07-05T22:32:36.263+07:00,540127131417658029,-324666,-296349,-354988,-472990
1783265556281448136,2026-07-05T22:32:36.281+07:00,540127131417658029,-324686,-296249,-354905,-472944
1783265556299629954,2026-07-05T22:32:36.299+07:00,540127131417658029,-324829,-296123,-354815,-472942
1783265556317811772,2026-07-05T22:32:36.317+07:00,540127131417658029,-324956,-296085,-354801,-472977
1783265556335993590,2026-07-05T22:32:36.335+07:00,540127131417658029,-325000,-296017,-354726,-472966
1783265556354175409,2026-07-05T22:32:36.354+07:00,540127131417658029,-324956,-295915,-354621,-472937
1783265556372357227,2026-07-05T22:32:36.372+07:00,540127131417658029,-324955,-295815,-354530,-472921
1783265556390539045,2026-07-05T22:32:36.390+07:00,540127131417658029,-324915,-295711,-354434,-472903
